device_id,request_id,device_time_us,host_send_monotonic_ns,host_receive_monotonic_ns,host_midpoint_monotonic_ns,round_trip_ns
cam01,frame_0000000070,9162045,638975187000000,638975187000000,638975187000000,0
cam01,frame_0000000071,9270097,638975296000000,638975296000000,638975296000000,0
cam01,frame_0000000072,9342122,638975390000000,638975390000000,638975390000000,0
cam01,frame_0000000073,9450182,638975500000000,638975500000000,638975500000000,0
cam01,frame_0000000074,9558237,638975593000000,638975593000000,638975593000000,0
imu01,i000009,16116526,638975671000000,638975687000000,638975679000000,16000000
cam01,frame_0000000075,9666290,638975687000000,638975687000000,638975687000000,0
cam01,frame_0000000076,9774346,638975796000000,638975796000000,638975796000000,0
cam01,frame_0000000077,9846383,638975890000000,638975890000000,638975890000000,0
cam01,frame_0000000078,9954438,638976000000000,638976000000000,638976000000000,0
cam01,frame_0000000079,10062491,638976093000000,638976093000000,638976093000000,0
cam01,frame_0000000080,10170538,638976187000000,638976187000000,638976187000000,0
cam01,frame_0000000081,10242579,638976296000000,638976296000000,638976296000000,0
cam01,frame_0000000082,10350683,638976390000000,638976390000000,638976390000000,0
cam01,frame_0000000083,10458691,638976500000000,638976500000000,638976500000000,0
cam01,frame_0000000084,10566737,638976593000000,638976593000000,638976593000000,0
cam01,frame_0000000085,10638780,638976687000000,638976687000000,638976687000000,0
cam01,frame_0000000086,10746826,638976796000000,638976796000000,638976796000000,0
cam01,frame_0000000087,10854887,638976890000000,638976890000000,638976890000000,0
cam01,frame_0000000088,10962938,638977000000000,638977000000000,638977000000000,0
cam01,frame_0000000089,11070994,638977093000000,638977093000000,638977093000000,0
cam01,frame_0000000090,11143030,638977187000000,638977187000000,638977187000000,0
cam01,frame_0000000091,11251082,638977296000000,638977296000000,638977296000000,0
cam01,frame_0000000092,11359191,638977390000000,638977390000000,638977390000000,0
cam01,frame_0000000093,11467195,638977500000000,638977500000000,638977500000000,0
cam01,frame_0000000094,11539228,638977593000000,638977593000000,638977593000000,0
imu01,i000010,18116531,638977671000000,638977687000000,638977679000000,16000000
cam01,frame_0000000095,11647327,638977687000000,638977687000000,638977687000000,0
cam01,frame_0000000096,11755337,638977796000000,638977796000000,638977796000000,0
cam01,frame_0000000097,11863394,638977890000000,638977890000000,638977890000000,0
cam01,frame_0000000098,11971439,638978000000000,638978000000000,638978000000000,0
cam01,frame_0000000099,12043482,638978093000000,638978093000000,638978093000000,0
cam01,frame_0000000100,12151536,638978187000000,638978187000000,638978187000000,0
cam01,frame_0000000101,12259588,638978296000000,638978296000000,638978296000000,0
cam01,frame_0000000102,12367632,638978390000000,638978390000000,638978390000000,0
