device_id,request_id,device_time_us,host_send_monotonic_ns,host_receive_monotonic_ns,host_midpoint_monotonic_ns,round_trip_ns
imu01,i000001,6698524,569553484000000,569553484000000,569553484000000,0
cam01,c000001,740653191,569553484000000,569553656000000,569553570000000,172000000
imu01,i000002,6956530,569553734000000,569553750000000,569553742000000,16000000
cam01,c000002,741081566,569553906000000,569554062000000,569553984000000,156000000
imu01,i000003,7196526,569553984000000,569553984000000,569553984000000,0
imu01,i000004,7456529,569554234000000,569554250000000,569554242000000,16000000
cam01,c000003,741506076,569554328000000,569554625000000,569554476500000,297000000
imu01,i000005,7696524,569554484000000,569554484000000,569554484000000,0
imu01,i000006,7956530,569554734000000,569554750000000,569554742000000,16000000
cam01,c000004,742056465,569554890000000,569557765000000,569556327500000,2875000000
imu01,i000007,9956527,569556734000000,569556750000000,569556742000000,16000000
cam01,c000005,745180273,569558015000000,569558140000000,569558077500000,125000000
imu01,i000008,11956530,569558734000000,569558750000000,569558742000000,16000000
cam01,c000006,747357704,569560140000000,569562828000000,569561484000000,2688000000
imu01,i000009,13956527,569560734000000,569560750000000,569560742000000,16000000
imu01,i000010,15956560,569562734000000,569562750000000,569562742000000,16000000
imu01,i000011,17956527,569564734000000,569564750000000,569564742000000,16000000
cam01,c000007,752007922,569564843000000,569565687000000,569565265000000,844000000
imu01,i000012,19956531,569566734000000,569566750000000,569566742000000,16000000
cam01,c000008,754851374,569567687000000,569570359000000,569569023000000,2672000000
imu01,i000013,21956527,569568734000000,569568750000000,569568742000000,16000000
imu01,i000014,23957531,569570734000000,569570750000000,569570742000000,16000000
cam01,c000009,759541808,569572375000000,569572437000000,569572406000000,62000000
imu01,i000015,25956527,569572734000000,569572750000000,569572742000000,16000000
cam01,c000010,761606898,569574437000000,569575031000000,569574734000000,594000000
imu01,i000016,27957531,569574734000000,569574750000000,569574742000000,16000000
imu01,i000017,29956527,569576734000000,569576750000000,569576742000000,16000000
cam01,c000011,764209600,569577046000000,569578000000000,569577523000000,954000000
imu01,i000018,31956530,569578734000000,569578750000000,569578742000000,16000000
cam01,c000012,767172145,569580000000000,569580968000000,569580484000000,968000000
imu01,i000019,33957527,569580734000000,569580750000000,569580742000000,16000000
imu01,i000020,35956531,569582734000000,569582750000000,569582742000000,16000000
cam01,c000013,770142557,569582968000000,569583031000000,569582999500000,63000000
imu01,i000021,37956526,569584734000000,569584750000000,569584742000000,16000000
cam01,c000014,772195528,569585031000000,569586328000000,569585679500000,1297000000
imu01,i000022,39956530,569586734000000,569586750000000,569586742000000,16000000
cam01,c000015,775503689,569588328000000,569589296000000,569588812000000,968000000
imu01,i000023,41956526,569588734000000,569588750000000,569588742000000,16000000
imu01,i000024,43956530,569590734000000,569590750000000,569590742000000,16000000
cam01,c000016,778474614,569591312000000,569593140000000,569592226000000,1828000000
imu01,i000025,45956527,569592734000000,569592750000000,569592742000000,16000000
imu01,i000026,47956531,569594734000000,569594750000000,569594742000000,16000000
cam01,c000017,782316859,569595140000000,569596343000000,569595741500000,1203000000
imu01,i000027,49956546,569596734000000,569596750000000,569596742000000,16000000
cam01,c000018,785536052,569598343000000,569602140000000,569600241500000,3797000000
imu01,i000028,51957531,569598734000000,569598750000000,569598742000000,16000000
imu01,i000029,53957527,569600734000000,569600750000000,569600742000000,16000000
imu01,i000030,55956560,569602734000000,569602750000000,569602742000000,16000000
cam01,c000019,791309038,569604140000000,569605218000000,569604679000000,1078000000
imu01,i000031,57956527,569604734000000,569604750000000,569604742000000,16000000
imu01,i000032,59956530,569606734000000,569606750000000,569606742000000,16000000
cam01,c000020,794395759,569607218000000,569608062000000,569607640000000,844000000
imu01,i000033,61956526,569608734000000,569608750000000,569608742000000,16000000
cam01,c000021,797250601,569610078000000,569610390000000,569610234000000,312000000
imu01,i000034,63956530,569610734000000,569610750000000,569610742000000,16000000
cam01,c000022,799561559,569612390000000,569612562000000,569612476000000,172000000
imu01,i000035,65956526,569612734000000,569612750000000,569612742000000,16000000
