device_id,session_id,sequence,device_timestamp_us,host_capture_monotonic_ns,host_received_monotonic_ns,width,height,jpeg_bytes,motion_score,relative_path
cam01,fusion_20260818T183239Z,160,759780474,569572966803023,569572781000000,320,240,6567,0.015099586918950081,frames/0000000160.jpg
cam01,fusion_20260818T183239Z,161,759888362,569573075000635,569572875000000,320,240,7008,0.016429264098405838,frames/0000000161.jpg
cam01,fusion_20260818T183239Z,162,759924497,569573111239334,569572968000000,320,240,7056,0.014009361155331135,frames/0000000162.jpg
cam01,fusion_20260818T183239Z,163,760104582,569573291841133,569573015000000,320,240,6972,0.01460646465420723,frames/0000000163.jpg
cam01,fusion_20260818T183239Z,164,760176623,569573364088873,569573140000000,320,240,7128,0.014444171451032162,frames/0000000164.jpg
cam01,fusion_20260818T183239Z,165,760284571,569573472346657,569573421000000,320,240,7446,0.010148675180971622,frames/0000000165.jpg
cam01,fusion_20260818T183239Z,166,760320723,569573508602405,569573515000000,320,240,7423,0.011351153254508972,frames/0000000166.jpg
cam01,fusion_20260818T183239Z,167,760572703,569573761305525,569573593000000,320,240,7192,0.011862268671393394,frames/0000000167.jpg
cam01,fusion_20260818T183239Z,168,760608940,569573797646517,569573718000000,320,240,7069,0.015858778730034828,frames/0000000168.jpg
cam01,fusion_20260818T183239Z,169,760716775,569573905790977,569573890000000,320,240,7244,0.016597410663962364,frames/0000000169.jpg
cam01,fusion_20260818T183239Z,170,761005100,569574194943398,569574000000000,320,240,7453,0.021739652380347252,frames/0000000170.jpg
cam01,fusion_20260818T183239Z,171,761041083,569574231029661,569574062000000,320,240,7342,0.010445380583405495,frames/0000000171.jpg
cam01,fusion_20260818T183239Z,172,761221062,569574411525156,569574203000000,320,240,7484,0.009189797565340996,frames/0000000172.jpg
cam01,fusion_20260818T183239Z,173,761329229,569574520002569,569574312000000,320,240,7505,0.007970042526721954,frames/0000000173.jpg
cam01,fusion_20260818T183239Z,174,761365227,569574556103874,569574406000000,320,240,7428,0.011604865081608295,frames/0000000174.jpg
cam01,fusion_20260818T183239Z,175,761509190,569574700480013,569574718000000,320,240,7294,0.015716111287474632,frames/0000000175.jpg
cam01,fusion_20260818T183239Z,176,761545388,569574736781892,569575390000000,320,240,7409,0.012901858426630497,frames/0000000176.jpg
cam01,fusion_20260818T183239Z,177,762121474,569575314521117,569576218000000,320,240,6845,0.08158020675182343,frames/0000000177.jpg
cam01,fusion_20260818T183239Z,178,762913993,569576109314452,569576687000000,320,240,7228,0.08828598260879517,frames/0000000178.jpg
cam01,fusion_20260818T183239Z,179,763526389,569576723467878,569577328000000,320,240,7077,0.024589307606220245,frames/0000000179.jpg
cam01,fusion_20260818T183239Z,180,764030548,569577229073690,569577937000000,320,240,6787,0.020544610917568207,frames/0000000180.jpg
cam01,fusion_20260818T183239Z,181,764642918,569577843201041,569578578000000,320,240,7154,0.01708970032632351,frames/0000000181.jpg
cam01,fusion_20260818T183239Z,182,765291229,569578493372534,569579250000000,320,240,7314,0.011015011928975582,frames/0000000182.jpg
cam01,fusion_20260818T183239Z,183,765831388,569579035081658,569579734000000,320,240,7398,0.008928734809160233,frames/0000000183.jpg
cam01,fusion_20260818T183239Z,184,766839965,569580046553026,569579984000000,320,240,7432,0.011458895169198513,frames/0000000184.jpg
cam01,fusion_20260818T183239Z,185,766948043,569580154941183,569580828000000,320,240,7272,0.010280756279826164,frames/0000000185.jpg
cam01,fusion_20260818T183239Z,186,766984122,569580191123721,569581000000000,320,240,7411,0.01234225183725357,frames/0000000186.jpg
cam01,fusion_20260818T183239Z,187,768100570,569581310775652,569581953000000,320,240,7127,0.08674457669258118,frames/0000000187.jpg
cam01,fusion_20260818T183239Z,188,768208607,569581419122692,569582687000000,320,240,7167,0.04348333925008774,frames/0000000188.jpg
cam01,fusion_20260818T183239Z,189,769181220,569582394526852,569582812000000,320,240,7294,0.06363742053508759,frames/0000000189.jpg
cam01,fusion_20260818T183239Z,190,769937491,569583152968164,569582937000000,320,240,6991,0.02281479723751545,frames/0000000190.jpg
cam01,fusion_20260818T183239Z,191,770045433,569583261219931,569583031000000,320,240,7050,0.014699787832796574,frames/0000000191.jpg
cam01,fusion_20260818T183239Z,192,770153607,569583369704364,569583093000000,320,240,7052,0.01021737139672041,frames/0000000192.jpg
cam01,fusion_20260818T183239Z,193,770225663,569583441967146,569583218000000,320,240,6762,0.012861570343375206,frames/0000000193.jpg
cam01,fusion_20260818T183239Z,194,770333634,569583550247997,569583312000000,320,240,7033,0.011791173368692398,frames/0000000194.jpg
cam01,fusion_20260818T183239Z,195,770369716,569583586433543,569583390000000,320,240,6985,0.06568945944309235,frames/0000000195.jpg
cam01,fusion_20260818T183239Z,196,770549900,569583767134627,569583656000000,320,240,7317,0.06629426777362823,frames/0000000196.jpg
cam01,fusion_20260818T183239Z,197,770621853,569583839294114,569583718000000,320,240,7520,0.0104155782610178,frames/0000000197.jpg
cam01,fusion_20260818T183239Z,198,770657860,569583875404446,569583984000000,320,240,7560,0.010026484727859497,frames/0000000198.jpg
cam01,fusion_20260818T183239Z,199,771090089,569584308873836,569584187000000,320,240,7501,0.017130311578512192,frames/0000000199.jpg
cam01,fusion_20260818T183239Z,200,771198145,569584417239931,569584234000000,320,240,7504,0.01101834885776043,frames/0000000200.jpg
cam01,fusion_20260818T183239Z,201,771234170,569584453368314,569585015000000,320,240,7398,0.011376549489796162,frames/0000000201.jpg
cam01,fusion_20260818T183239Z,202,772206724,569585428713304,569586390000000,320,240,6640,0.08585475385189056,frames/0000000202.jpg
cam01,fusion_20260818T183239Z,203,772674864,569585898196751,569587000000000,320,240,6722,0.099807508289814,frames/0000000203.jpg
cam01,fusion_20260818T183239Z,204,773647418,569586873541742,569587625000000,320,240,7235,0.04816431924700737,frames/0000000204.jpg
cam01,fusion_20260818T183239Z,205,774439800,569587668197683,569588140000000,320,240,7426,0.01711677573621273,frames/0000000205.jpg
cam01,fusion_20260818T183239Z,206,774835871,569588065405310,569588265000000,320,240,7359,0.012271378189325333,frames/0000000206.jpg
cam01,fusion_20260818T183239Z,207,775376280,569588607365150,569588765000000,320,240,7217,0.009739940986037254,frames/0000000207.jpg
cam01,fusion_20260818T183239Z,208,775484349,569588715744282,569589562000000,320,240,7238,0.00931261945515871,frames/0000000208.jpg
cam01,fusion_20260818T183239Z,209,776240540,569589474105364,569590515000000,320,240,7452,0.016397366300225258,frames/0000000209.jpg
cam01,fusion_20260818T183239Z,210,777429292,569590666268790,569590593000000,320,240,7408,0.011398590169847012,frames/0000000210.jpg
cam01,fusion_20260818T183239Z,211,777789449,569591027459352,569591250000000,320,240,6864,0.01241142489016056,frames/0000000211.jpg
cam01,fusion_20260818T183239Z,212,777825421,569591063534583,569592312000000,320,240,6836,0.01143923681229353,frames/0000000212.jpg
cam01,fusion_20260818T183239Z,213,778833892,569592074899646,569593187000000,320,240,7333,0.015803106129169464,frames/0000000213.jpg
cam01,fusion_20260818T183239Z,214,779554311,569592797386072,569593437000000,320,240,7421,0.013057734817266464,frames/0000000214.jpg
cam01,fusion_20260818T183239Z,215,780418746,569593664301788,569596234000000,320,240,7549,0.05942970886826515,frames/0000000215.jpg
cam01,fusion_20260818T183239Z,216,780995018,569594242227547,569596359000000,320,240,7648,0.09280353039503098,frames/0000000216.jpg
cam01,fusion_20260818T183239Z,217,783444337,569596698575490,569596625000000,320,240,6928,0.12548285722732544,frames/0000000217.jpg
cam01,fusion_20260818T183239Z,218,783480273,569596734614617,569597750000000,320,240,7445,0.018802251666784286,frames/0000000218.jpg
cam01,fusion_20260818T183239Z,219,783912356,569597167937589,569597843000000,320,240,6946,0.05451783910393715,frames/0000000219.jpg
cam01,fusion_20260818T183239Z,220,784992992,569598251674749,569597906000000,320,240,6926,0.07803086936473846,frames/0000000220.jpg
cam01,fusion_20260818T183239Z,221,785101057,569598360049869,569601312000000,320,240,6820,0.029715415090322495,frames/0000000221.jpg
cam01,fusion_20260818T183239Z,222,785461136,569598721162207,569602359000000,320,240,6909,0.04453890770673752,frames/0000000222.jpg
cam01,fusion_20260818T183239Z,223,789459120,569602730619438,569602640000000,320,240,7225,0.051619403064250946,frames/0000000223.jpg
cam01,fusion_20260818T183239Z,224,789567186,569602838995560,569604093000000,320,240,7211,0.04080567881464958,frames/0000000224.jpg
cam01,fusion_20260818T183239Z,225,790467758,569603742151981,569604906000000,320,240,6658,0.09815330058336258,frames/0000000225.jpg
cam01,fusion_20260818T183239Z,226,791368226,569604645204102,569605765000000,320,240,7514,0.07614606618881226,frames/0000000226.jpg
cam01,fusion_20260818T183239Z,227,792340728,569605620496944,569606218000000,320,240,7383,0.02356840670108795,frames/0000000227.jpg
cam01,fusion_20260818T183239Z,228,792989073,569606270702535,569607375000000,320,240,6926,0.015247837640345097,frames/0000000228.jpg
cam01,fusion_20260818T183239Z,229,793457190,569606740162915,569608015000000,320,240,7299,0.01633582077920437,frames/0000000229.jpg
cam01,fusion_20260818T183239Z,230,794825996,569608112897052,569608140000000,320,240,7375,0.02111642062664032,frames/0000000230.jpg
cam01,fusion_20260818T183239Z,231,795258151,569608546292230,569608531000000,320,240,7097,0.012280518189072609,frames/0000000231.jpg
