host_received_monotonic_ns,message
569547296000000,# FusionSense timestamped IMU USB stream
569547312000000,"# format=IMU,1,device_id,session_id,seq,t_device_us,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps"
569547312000000,"# configured_hz=50,accel_range_g=2,gyro_range_dps=250"
569547328000000,"# i2c_scan,pins=21|22,addresses=0x68"
569547531000000,# mpu_who_am_i=0x70
569547531000000,# mpu_i2c_address=0x68
569547531000000,# mpu_model=MPU-6500
569547546000000,"# calibration,keep_sensor_stationary,seconds=5"
569552531000000,"# calibration_ok,accel_bias_g=-0.00273|-0.00002|0.01330,gyro_bias_dps=-0.6665|0.4535|0.1863"
569552546000000,# acquisition_started
569552546000000,"# session_set,id=fusion_20260818T183239Z"
569553484000000,"# host_capture_start,serial_buffer_aligned=true"
569553484000000,"# SYNC_RESP,i000001,6698524"
569553750000000,"# SYNC_RESP,i000002,6956530"
569553984000000,"# SYNC_RESP,i000003,7196526"
569554250000000,"# SYNC_RESP,i000004,7456529"
569554484000000,"# SYNC_RESP,i000005,7696524"
569554750000000,"# SYNC_RESP,i000006,7956530"
569556750000000,"# SYNC_RESP,i000007,9956527"
569557546000000,"# health,t_ms=10744,samples=250,read_errors_total=0,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
569558750000000,"# SYNC_RESP,i000008,11956530"
569560750000000,"# SYNC_RESP,i000009,13956527"
569562546000000,"# health,t_ms=15744,samples=500,read_errors_total=0,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
569562750000000,"# SYNC_RESP,i000010,15956560"
569564750000000,"# SYNC_RESP,i000011,17956527"
569566750000000,"# SYNC_RESP,i000012,19956531"
569567546000000,"# health,t_ms=20744,samples=750,read_errors_total=0,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
569568750000000,"# SYNC_RESP,i000013,21956527"
569570750000000,"# SYNC_RESP,i000014,23957531"
569572546000000,"# health,t_ms=25744,samples=1000,read_errors_total=0,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
569572750000000,"# SYNC_RESP,i000015,25956527"
569574750000000,"# SYNC_RESP,i000016,27957531"
569576750000000,"# SYNC_RESP,i000017,29956527"
569577546000000,"# health,t_ms=30744,samples=1250,read_errors_total=0,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
569578750000000,"# SYNC_RESP,i000018,31956530"
569580750000000,"# SYNC_RESP,i000019,33957527"
569582546000000,"# health,t_ms=35744,samples=1500,read_errors_total=0,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
569582750000000,"# SYNC_RESP,i000020,35956531"
569584750000000,"# SYNC_RESP,i000021,37956526"
569586750000000,"# SYNC_RESP,i000022,39956530"
569587546000000,"# health,t_ms=40744,samples=1750,read_errors_total=0,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
569588750000000,"# SYNC_RESP,i000023,41956526"
569590750000000,"# SYNC_RESP,i000024,43956530"
569592546000000,"# health,t_ms=45744,samples=2000,read_errors_total=0,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
569592750000000,"# SYNC_RESP,i000025,45956527"
569594750000000,"# SYNC_RESP,i000026,47956531"
569596750000000,"# SYNC_RESP,i000027,49956546"
569597546000000,"# health,t_ms=50744,samples=2250,read_errors_total=0,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
569598750000000,"# SYNC_RESP,i000028,51957531"
569600750000000,"# SYNC_RESP,i000029,53957527"
569602546000000,"# health,t_ms=55744,samples=2500,read_errors_total=0,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
569602750000000,"# SYNC_RESP,i000030,55956560"
569604750000000,"# SYNC_RESP,i000031,57956527"
569606750000000,"# SYNC_RESP,i000032,59956530"
569607546000000,"# health,t_ms=60744,samples=2750,read_errors_total=0,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
569608750000000,"# SYNC_RESP,i000033,61956526"
569610750000000,"# SYNC_RESP,i000034,63956530"
569612546000000,"# health,t_ms=65744,samples=3000,read_errors_total=0,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
569612750000000,"# SYNC_RESP,i000035,65956526"
