host_monotonic_ns,t_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,schema_version,device_id,session_id,sequence,device_timestamp_us,host_capture_monotonic_ns
569553500000000,6704,-0.2,-0.0,0.976,0.04,-0.13,0.08,1,imu01,fusion_20260818T183239Z,47,6704309,569553490308231
569553515000000,6724,-0.201,-0.002,0.977,-0.1,0.27,0.05,1,imu01,fusion_20260818T183239Z,48,6724312,569553510310845
569553546000000,6744,-0.2,-0.004,0.981,-0.07,-0.06,0.16,1,imu01,fusion_20260818T183239Z,49,6744309,569553530307459
569553562000000,6764,-0.201,0.002,0.983,0.13,0.44,-0.32,1,imu01,fusion_20260818T183239Z,50,6764312,569553550310073
569553578000000,6784,-0.206,0.002,0.972,-0.01,0.26,-0.05,1,imu01,fusion_20260818T183239Z,51,6784309,569553570306686
569553593000000,6804,-0.204,-0.006,0.98,-0.1,0.03,0.1,1,imu01,fusion_20260818T183239Z,52,6804312,569553590309300
569553625000000,6824,-0.2,-0.001,0.984,-0.14,-0.22,0.02,1,imu01,fusion_20260818T183239Z,53,6824309,569553610305914
569553640000000,6844,-0.195,-0.001,0.982,-0.04,-0.2,0.03,1,imu01,fusion_20260818T183239Z,54,6844312,569553630308528
569553656000000,6864,-0.2,-0.001,0.985,-0.1,0.18,0.2,1,imu01,fusion_20260818T183239Z,55,6864309,569553650305142
569553687000000,6884,-0.202,-0.004,0.977,-0.02,-0.01,0.24,1,imu01,fusion_20260818T183239Z,56,6884312,569553670307756
569553703000000,6904,-0.2,0.006,0.981,-0.02,0.04,0.02,1,imu01,fusion_20260818T183239Z,57,6904309,569553690304369
569553718000000,6924,-0.201,0.002,0.978,0.25,-0.12,-0.03,1,imu01,fusion_20260818T183239Z,58,6924312,569553710306983
569553734000000,6944,-0.195,-0.004,0.984,-0.08,0.1,-0.18,1,imu01,fusion_20260818T183239Z,59,6944309,569553730303597
569553765000000,6964,-0.205,0.0,0.981,-0.01,-0.12,0.06,1,imu01,fusion_20260818T183239Z,60,6964311,569553750305211
569553781000000,6984,-0.197,-0.001,0.975,-0.03,-0.02,0.02,1,imu01,fusion_20260818T183239Z,61,6984309,569553770302825
569553796000000,7004,-0.201,-0.004,0.985,0.11,-0.16,-0.06,1,imu01,fusion_20260818T183239Z,62,7004312,569553790305438
569553828000000,7024,-0.199,-0.001,0.98,-0.1,0.27,-0.09,1,imu01,fusion_20260818T183239Z,63,7024309,569553810302052
569553843000000,7044,-0.201,-0.001,0.982,-0.01,-0.1,-0.09,1,imu01,fusion_20260818T183239Z,64,7044312,569553830304666
569553859000000,7064,-0.204,-0.001,0.979,0.02,-0.09,0.03,1,imu01,fusion_20260818T183239Z,65,7064309,569553850301280
569553875000000,7084,-0.203,0.0,0.983,0.07,0.11,0.13,1,imu01,fusion_20260818T183239Z,66,7084312,569553870303894
569553906000000,7104,-0.2,0.0,0.978,-0.01,0.03,0.0,1,imu01,fusion_20260818T183239Z,67,7104309,569553890300508
569553921000000,7124,-0.198,-0.003,0.981,-0.07,0.03,-0.06,1,imu01,fusion_20260818T183239Z,68,7124312,569553910303121
569553937000000,7144,-0.198,-0.002,0.975,0.06,-0.01,-0.08,1,imu01,fusion_20260818T183239Z,69,7144309,569553930299735
569553953000000,7164,-0.202,-0.004,0.982,-0.01,0.04,0.11,1,imu01,fusion_20260818T183239Z,70,7164312,569553950302349
569553984000000,7184,-0.199,0.001,0.983,-0.02,-0.16,0.3,1,imu01,fusion_20260818T183239Z,71,7184309,569553970298963
569554000000000,7204,-0.2,-0.0,0.977,-0.05,0.07,0.08,1,imu01,fusion_20260818T183239Z,72,7204311,569553990300577
569554015000000,7224,-0.2,-0.001,0.978,0.08,-0.17,-0.04,1,imu01,fusion_20260818T183239Z,73,7224309,569554010298190
569554046000000,7244,-0.204,-0.006,0.982,0.03,0.09,0.18,1,imu01,fusion_20260818T183239Z,74,7244312,569554030300804
569554062000000,7264,-0.202,-0.002,0.981,0.0,-0.09,0.19,1,imu01,fusion_20260818T183239Z,75,7264309,569554050297418
569554078000000,7284,-0.204,-0.0,0.984,-0.11,-0.09,0.1,1,imu01,fusion_20260818T183239Z,76,7284312,569554070300032
569554093000000,7304,-0.198,-0.004,0.978,0.11,-0.02,0.08,1,imu01,fusion_20260818T183239Z,77,7304309,569554090296646
569554125000000,7324,-0.201,-0.0,0.983,-0.07,0.17,-0.03,1,imu01,fusion_20260818T183239Z,78,7324312,569554110299260
569554140000000,7344,-0.197,-0.007,0.979,-0.01,-0.13,-0.13,1,imu01,fusion_20260818T183239Z,79,7344309,569554130295873
569554156000000,7364,-0.203,0.002,0.984,-0.03,-0.08,0.07,1,imu01,fusion_20260818T183239Z,80,7364312,569554150298487
569554187000000,7384,-0.201,0.0,0.974,0.05,0.07,0.15,1,imu01,fusion_20260818T183239Z,81,7384309,569554170295101
569554203000000,7404,-0.202,-0.005,0.979,-0.07,0.13,-0.05,1,imu01,fusion_20260818T183239Z,82,7404312,569554190297715
569554218000000,7424,-0.2,-0.003,0.978,0.0,-0.13,-0.16,1,imu01,fusion_20260818T183239Z,83,7424309,569554210294329
569554234000000,7444,-0.2,-0.002,0.978,0.03,-0.09,-0.09,1,imu01,fusion_20260818T183239Z,84,7444312,569554230296942
569554265000000,7464,-0.205,0.001,0.98,-0.01,0.0,0.04,1,imu01,fusion_20260818T183239Z,85,7464309,569554250293556
569554281000000,7484,-0.2,-0.003,0.981,-0.04,0.16,0.08,1,imu01,fusion_20260818T183239Z,86,7484312,569554270296170
569554296000000,7504,-0.2,0.001,0.981,0.01,-0.06,-0.11,1,imu01,fusion_20260818T183239Z,87,7504309,569554290292784
569554312000000,7524,-0.199,-0.005,0.979,0.07,-0.17,-0.15,1,imu01,fusion_20260818T183239Z,88,7524312,569554310295398
569554343000000,7544,-0.199,0.002,0.979,-0.03,0.29,0.0,1,imu01,fusion_20260818T183239Z,89,7544309,569554330292012
569554359000000,7564,-0.199,-0.0,0.98,0.13,0.07,0.08,1,imu01,fusion_20260818T183239Z,90,7564312,569554350294625
