device_id,request_id,device_time_us,host_send_monotonic_ns,host_receive_monotonic_ns,host_midpoint_monotonic_ns,round_trip_ns
cam01,frame_0000000070,9162085,639137375000000,639137375000000,639137375000000,0
cam01,frame_0000000071,9270144,639137468000000,639137468000000,639137468000000,0
cam01,frame_0000000072,9342170,639137578000000,639137578000000,639137578000000,0
cam01,frame_0000000073,9450227,639137765000000,639137765000000,639137765000000,0
cam01,frame_0000000074,9558282,639137765000000,639137765000000,639137765000000,0
imu01,i000009,16097530,639137843000000,639137843000000,639137843000000,0
cam01,frame_0000000075,9666334,639137875000000,639137875000000,639137875000000,0
cam01,frame_0000000076,9774391,639137968000000,639137968000000,639137968000000,0
cam01,frame_0000000077,9846428,639138078000000,639138078000000,639138078000000,0
cam01,frame_0000000078,9954477,639138171000000,639138171000000,639138171000000,0
cam01,frame_0000000079,10062533,639138265000000,639138265000000,639138265000000,0
cam01,frame_0000000080,10170583,639138375000000,639138375000000,639138375000000,0
cam01,frame_0000000081,10242626,639138468000000,639138468000000,639138468000000,0
cam01,frame_0000000082,10350678,639138578000000,639138578000000,639138578000000,0
cam01,frame_0000000083,10458735,639138671000000,639138671000000,639138671000000,0
cam01,frame_0000000084,10566783,639138765000000,639138765000000,639138765000000,0
cam01,frame_0000000085,10674843,639138875000000,639138875000000,639138875000000,0
cam01,frame_0000000086,10746886,639138968000000,639138968000000,639138968000000,0
cam01,frame_0000000087,10854930,639139078000000,639139078000000,639139078000000,0
cam01,frame_0000000088,10962984,639139171000000,639139171000000,639139171000000,0
cam01,frame_0000000089,11071048,639139265000000,639139265000000,639139265000000,0
cam01,frame_0000000090,11143069,639139375000000,639139375000000,639139375000000,0
cam01,frame_0000000091,11251131,639139468000000,639139468000000,639139468000000,0
cam01,frame_0000000092,11359185,639139578000000,639139578000000,639139578000000,0
cam01,frame_0000000093,11467238,639139671000000,639139671000000,639139671000000,0
cam01,frame_0000000094,11575287,639139765000000,639139765000000,639139765000000,0
imu01,i000010,18097535,639139843000000,639139843000000,639139843000000,0
cam01,frame_0000000095,11647327,639139875000000,639139875000000,639139875000000,0
cam01,frame_0000000096,11755378,639139968000000,639139968000000,639139968000000,0
cam01,frame_0000000097,11863435,639140078000000,639140078000000,639140078000000,0
cam01,frame_0000000098,11971483,639140171000000,639140171000000,639140171000000,0
cam01,frame_0000000099,12043527,639140265000000,639140265000000,639140265000000,0
cam01,frame_0000000100,12151577,639140375000000,639140375000000,639140375000000,0
cam01,frame_0000000101,12259634,639140468000000,639140468000000,639140468000000,0
cam01,frame_0000000102,12367684,639140578000000,639140578000000,639140578000000,0
cam01,frame_0000000103,12439728,639140671000000,639140671000000,639140671000000,0
cam01,frame_0000000104,12547777,639140765000000,639140765000000,639140765000000,0
cam01,frame_0000000105,12655834,639140875000000,639140875000000,639140875000000,0
cam01,frame_0000000106,12763879,639140968000000,639140968000000,639140968000000,0
cam01,frame_0000000107,12871940,639141078000000,639141078000000,639141078000000,0
cam01,frame_0000000108,12943971,639141171000000,639141171000000,639141171000000,0
cam01,frame_0000000109,13052034,639141265000000,639141265000000,639141265000000,0
cam01,frame_0000000110,13160089,639141375000000,639141375000000,639141375000000,0
cam01,frame_0000000111,13268144,639141468000000,639141468000000,639141468000000,0
cam01,frame_0000000112,13340173,639141578000000,639141578000000,639141578000000,0
cam01,frame_0000000113,13448228,639141671000000,639141671000000,639141671000000,0
cam01,frame_0000000114,13556284,639141765000000,639141765000000,639141765000000,0
imu01,i000011,20097530,639141843000000,639141843000000,639141843000000,0
cam01,frame_0000000115,13664333,639141875000000,639141875000000,639141875000000,0
cam01,frame_0000000116,13772425,639141968000000,639141968000000,639141968000000,0
cam01,frame_0000000117,13844498,639142078000000,639142078000000,639142078000000,0
cam01,frame_0000000118,13952466,639142171000000,639142171000000,639142171000000,0
cam01,frame_0000000119,14060614,639142265000000,639142265000000,639142265000000,0
cam01,frame_0000000120,14168654,639142375000000,639142375000000,639142375000000,0
cam01,frame_0000000121,14240700,639142468000000,639142468000000,639142468000000,0
cam01,frame_0000000122,14348731,639142578000000,639142578000000,639142578000000,0
cam01,frame_0000000123,14456806,639142671000000,639142671000000,639142671000000,0
cam01,frame_0000000124,14564825,639142765000000,639142765000000,639142765000000,0
cam01,frame_0000000125,14636830,639142875000000,639142875000000,639142875000000,0
cam01,frame_0000000126,14744914,639142968000000,639142968000000,639142968000000,0
cam01,frame_0000000127,14852932,639143078000000,639143078000000,639143078000000,0
cam01,frame_0000000128,14960984,639143171000000,639143171000000,639143171000000,0
cam01,frame_0000000129,15069040,639143265000000,639143265000000,639143265000000,0
cam01,frame_0000000130,15141067,639143375000000,639143375000000,639143375000000,0
cam01,frame_0000000131,15249125,639143468000000,639143468000000,639143468000000,0
cam01,frame_0000000132,15357180,639143578000000,639143578000000,639143578000000,0
cam01,frame_0000000133,15465233,639143671000000,639143671000000,639143671000000,0
cam01,frame_0000000134,15573285,639143765000000,639143765000000,639143765000000,0
imu01,i000012,22097535,639143843000000,639143843000000,639143843000000,0
cam01,frame_0000000135,15645327,639143875000000,639143875000000,639143875000000,0
cam01,frame_0000000136,15753378,639143968000000,639143968000000,639143968000000,0
cam01,frame_0000000137,15861432,639144078000000,639144078000000,639144078000000,0
cam01,frame_0000000138,15969481,639144171000000,639144171000000,639144171000000,0
cam01,frame_0000000139,16041521,639144265000000,639144265000000,639144265000000,0
cam01,frame_0000000140,16149576,639144375000000,639144375000000,639144375000000,0
cam01,frame_0000000141,16257633,639144468000000,639144468000000,639144468000000,0
cam01,frame_0000000142,16365682,639144578000000,639144578000000,639144578000000,0
cam01,frame_0000000143,16473743,639144671000000,639144671000000,639144671000000,0
cam01,frame_0000000144,16545769,639144765000000,639144765000000,639144765000000,0
cam01,frame_0000000145,16653831,639144875000000,639144875000000,639144875000000,0
cam01,frame_0000000146,16761884,639144968000000,639144968000000,639144968000000,0
cam01,frame_0000000147,16869936,639145078000000,639145078000000,639145078000000,0
cam01,frame_0000000148,16941970,639145171000000,639145171000000,639145171000000,0
cam01,frame_0000000149,17050032,639145265000000,639145265000000,639145265000000,0
cam01,frame_0000000150,17158083,639145375000000,639145375000000,639145375000000,0
cam01,frame_0000000151,17266136,639145468000000,639145468000000,639145468000000,0
cam01,frame_0000000152,17374188,639145578000000,639145578000000,639145578000000,0
cam01,frame_0000000153,17446228,639145671000000,639145671000000,639145671000000,0
cam01,frame_0000000154,17554280,639145765000000,639145765000000,639145765000000,0
imu01,i000013,24097530,639145843000000,639145843000000,639145843000000,0
cam01,frame_0000000155,17662333,639145875000000,639145875000000,639145875000000,0
cam01,frame_0000000156,17770382,639145968000000,639145968000000,639145968000000,0
cam01,frame_0000000157,17842425,639146078000000,639146078000000,639146078000000,0
cam01,frame_0000000158,17950476,639146171000000,639146171000000,639146171000000,0
cam01,frame_0000000159,18058529,639146265000000,639146265000000,639146265000000,0
cam01,frame_0000000160,18166579,639146375000000,639146375000000,639146375000000,0
cam01,frame_0000000161,18274639,639146468000000,639146468000000,639146468000000,0
cam01,frame_0000000162,18346668,639146578000000,639146578000000,639146578000000,0
cam01,frame_0000000163,18454728,639146671000000,639146671000000,639146671000000,0
cam01,frame_0000000164,18562783,639146765000000,639146765000000,639146765000000,0
cam01,frame_0000000165,18670834,639146875000000,639146875000000,639146875000000,0
cam01,frame_0000000166,18742859,639146968000000,639146968000000,639146968000000,0
cam01,frame_0000000167,18850924,639147078000000,639147078000000,639147078000000,0
cam01,frame_0000000168,18958978,639147171000000,639147171000000,639147171000000,0
cam01,frame_0000000169,19067036,639147265000000,639147265000000,639147265000000,0
cam01,frame_0000000170,19175083,639147375000000,639147375000000,639147375000000,0
cam01,frame_0000000171,19247126,639147468000000,639147468000000,639147468000000,0
cam01,frame_0000000172,19355233,639147578000000,639147578000000,639147578000000,0
cam01,frame_0000000173,19463280,639147671000000,639147671000000,639147671000000,0
cam01,frame_0000000174,19571326,639147765000000,639147765000000,639147765000000,0
imu01,i000014,26097535,639147843000000,639147843000000,639147843000000,0
cam01,frame_0000000175,19643373,639147875000000,639147875000000,639147875000000,0
cam01,frame_0000000176,19751421,639147968000000,639147968000000,639147968000000,0
cam01,frame_0000000177,19859489,639148078000000,639148078000000,639148078000000,0
cam01,frame_0000000178,19967527,639148171000000,639148171000000,639148171000000,0
cam01,frame_0000000179,20039523,639148265000000,639148265000000,639148265000000,0
cam01,frame_0000000180,20147577,639148375000000,639148375000000,639148375000000,0
cam01,frame_0000000181,20255672,639148468000000,639148468000000,639148468000000,0
cam01,frame_0000000182,20363724,639148578000000,639148578000000,639148578000000,0
cam01,frame_0000000183,20435770,639148671000000,639148671000000,639148671000000,0
cam01,frame_0000000184,20543776,639148765000000,639148765000000,639148765000000,0
cam01,frame_0000000185,20651888,639148875000000,639148875000000,639148875000000,0
cam01,frame_0000000186,20759868,639148968000000,639148968000000,639148968000000,0
cam01,frame_0000000187,20867928,639149078000000,639149078000000,639149078000000,0
cam01,frame_0000000188,20939957,639149171000000,639149171000000,639149171000000,0
cam01,frame_0000000189,21048016,639149265000000,639149265000000,639149265000000,0
cam01,frame_0000000190,21156070,639149375000000,639149375000000,639149375000000,0
cam01,frame_0000000191,21264130,639149468000000,639149468000000,639149468000000,0
cam01,frame_0000000192,21336162,639149578000000,639149578000000,639149578000000,0
cam01,frame_0000000193,21444215,639149671000000,639149671000000,639149671000000,0
cam01,frame_0000000194,21552365,639149765000000,639149765000000,639149765000000,0
imu01,i000015,28117531,639149859000000,639149859000000,639149859000000,0
cam01,frame_0000000195,21660409,639149875000000,639149875000000,639149875000000,0
cam01,frame_0000000196,21768368,639149968000000,639149968000000,639149968000000,0
cam01,frame_0000000197,21840410,639150078000000,639150078000000,639150078000000,0
cam01,frame_0000000198,21948478,639150171000000,639150171000000,639150171000000,0
cam01,frame_0000000199,22056534,639150265000000,639150265000000,639150265000000,0
cam01,frame_0000000200,22164585,639150375000000,639150375000000,639150375000000,0
cam01,frame_0000000201,22236616,639150468000000,639150468000000,639150468000000,0
cam01,frame_0000000202,22344674,639150578000000,639150578000000,639150578000000,0
