device_id,request_id,device_time_us,host_send_monotonic_ns,host_receive_monotonic_ns,host_midpoint_monotonic_ns,round_trip_ns
imu01,i000001,14209561,569174343000000,569174343000000,569174343000000,0
cam01,c000001,361507694,569174343000000,569177562000000,569175952500000,3219000000
imu01,i000002,14467530,569174593000000,569174609000000,569174601000000,16000000
imu01,i000003,14707526,569174843000000,569174843000000,569174843000000,0
imu01,i000004,14967531,569175093000000,569175109000000,569175101000000,16000000
imu01,i000005,15207527,569175343000000,569175343000000,569175343000000,0
imu01,i000006,15467530,569175593000000,569175609000000,569175601000000,16000000
imu01,i000007,17467526,569177593000000,569177609000000,569177601000000,16000000
cam01,c000002,364980847,569177812000000,569178828000000,569178320000000,1016000000
cam01,c000003,366261591,569179093000000,569181359000000,569180226000000,2266000000
imu01,i000008,19467530,569179593000000,569179609000000,569179601000000,16000000
imu01,i000009,21468526,569181593000000,569181609000000,569181601000000,16000000
cam01,c000004,368777148,569181609000000,569185781000000,569183695000000,4172000000
imu01,i000010,23468531,569183593000000,569183609000000,569183601000000,16000000
imu01,i000011,25468527,569185593000000,569185609000000,569185601000000,16000000
cam01,c000005,373218140,569186046000000,569187734000000,569186890000000,1688000000
imu01,i000012,27467545,569187593000000,569187609000000,569187601000000,16000000
imu01,i000013,29468527,569189593000000,569189609000000,569189601000000,16000000
cam01,c000006,376907283,569189750000000,569191437000000,569190593500000,1687000000
imu01,i000014,31468531,569191593000000,569191609000000,569191601000000,16000000
cam01,c000007,380607706,569193453000000,569194062000000,569193757500000,609000000
imu01,i000015,33467539,569193593000000,569193609000000,569193601000000,16000000
imu01,i000016,35468531,569195593000000,569195609000000,569195601000000,16000000
cam01,c000008,383234233,569196062000000,569197984000000,569197023000000,1922000000
imu01,i000017,37467527,569197593000000,569197609000000,569197601000000,16000000
imu01,i000018,39467531,569199593000000,569199609000000,569199601000000,16000000
cam01,c000009,387155165,569200000000000,569200500000000,569200250000000,500000000
imu01,i000019,41468526,569201593000000,569201609000000,569201601000000,16000000
cam01,c000010,389670742,569202500000000,569204125000000,569203312500000,1625000000
imu01,i000020,43467530,569203593000000,569203609000000,569203601000000,16000000
imu01,i000021,45467527,569205593000000,569205609000000,569205601000000,16000000
imu01,i000022,47468530,569207593000000,569207609000000,569207601000000,16000000
imu01,i000023,49468527,569209593000000,569209609000000,569209601000000,16000000
imu01,i000024,51468530,569211593000000,569211609000000,569211601000000,16000000
imu01,i000025,53468525,569213593000000,569213609000000,569213601000000,16000000
imu01,i000026,55468530,569215593000000,569215609000000,569215601000000,16000000
cam01,c000012,403022785,569215765000000,569215937000000,569215851000000,172000000
imu01,i000027,57468526,569217593000000,569217609000000,569217601000000,16000000
cam01,c000013,405117217,569217953000000,569219765000000,569218859000000,1812000000
imu01,i000028,59468530,569219593000000,569219609000000,569219601000000,16000000
imu01,i000029,61468526,569221593000000,569221609000000,569221601000000,16000000
cam01,c000014,408948004,569221781000000,569222968000000,569222374500000,1187000000
imu01,i000030,63468530,569223593000000,569223609000000,569223601000000,16000000
cam01,c000015,416131987,569224968000000,569229406000000,569227187000000,4438000000
imu01,i000031,65467527,569225593000000,569225609000000,569225601000000,16000000
imu01,i000032,67467530,569227593000000,569227609000000,569227601000000,16000000
imu01,i000033,69467526,569229593000000,569229609000000,569229601000000,16000000
cam01,c000016,418579972,569231421000000,569231578000000,569231499500000,157000000
imu01,i000034,71467530,569231593000000,569231609000000,569231601000000,16000000
cam01,c000017,420743019,569233578000000,569233656000000,569233617000000,78000000
imu01,i000035,73467524,569233593000000,569233609000000,569233601000000,16000000
