host_received_monotonic_ns,message
569160656000000,# FusionSense timestamped IMU USB stream
569160656000000,"# format=IMU,1,device_id,session_id,seq,t_device_us,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps"
569160656000000,"# configured_hz=50,accel_range_g=2,gyro_range_dps=250"
569160671000000,"# i2c_scan,pins=21|22,addresses=0x68"
569160875000000,# mpu_who_am_i=0x70
569160875000000,# mpu_i2c_address=0x68
569160890000000,# mpu_model=MPU-6500
569160890000000,"# calibration,keep_sensor_stationary,seconds=5"
569165890000000,"# calibration_failed,reason=movement_or_bad_scale,accel_mean_g=1.0118,accel_std_g=0.0084,gyro_mag_std_dps=1.0057"
569165890000000,"# calibration_retry,keep_sensor_stationary"
569166890000000,"# calibration,keep_sensor_stationary,seconds=5"
569171890000000,"# calibration_ok,accel_bias_g=-0.00397|0.00432|0.01246,gyro_bias_dps=-0.5596|0.1886|0.1964"
569171906000000,# acquisition_started
569171906000000,"# session_set,id=fusion_20260818T182612Z"
569174343000000,"# host_capture_start,serial_buffer_aligned=true"
569174343000000,"# SYNC_RESP,i000001,14209561"
569174609000000,"# SYNC_RESP,i000002,14467530"
569174843000000,"# SYNC_RESP,i000003,14707526"
569175109000000,"# SYNC_RESP,i000004,14967531"
569175343000000,"# SYNC_RESP,i000005,15207527"
569175609000000,"# SYNC_RESP,i000006,15467530"
569176906000000,"# health,t_ms=16755,samples=250,read_errors_total=0,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
569177609000000,"# SYNC_RESP,i000007,17467526"
569179609000000,"# SYNC_RESP,i000008,19467530"
569181609000000,"# SYNC_RESP,i000009,21468526"
569181906000000,"# health,t_ms=21755,samples=500,read_errors_total=0,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
569183609000000,"# SYNC_RESP,i000010,23468531"
569185609000000,"# SYNC_RESP,i000011,25468527"
569186906000000,"# health,t_ms=26755,samples=750,read_errors_total=0,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
569187609000000,"# SYNC_RESP,i000012,27467545"
569189609000000,"# SYNC_RESP,i000013,29468527"
569191609000000,"# SYNC_RESP,i000014,31468531"
569191906000000,"# health,t_ms=31755,samples=1000,read_errors_total=0,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
569193609000000,"# SYNC_RESP,i000015,33467539"
569195609000000,"# SYNC_RESP,i000016,35468531"
569196906000000,"# health,t_ms=36755,samples=1250,read_errors_total=0,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
569197609000000,"# SYNC_RESP,i000017,37467527"
569199609000000,"# SYNC_RESP,i000018,39467531"
569201609000000,"# SYNC_RESP,i000019,41468526"
569201906000000,"# health,t_ms=41755,samples=1500,read_errors_total=0,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
569203609000000,"# SYNC_RESP,i000020,43467530"
569205609000000,"# SYNC_RESP,i000021,45467527"
569206906000000,"# health,t_ms=46755,samples=1750,read_errors_total=0,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
569207609000000,"# SYNC_RESP,i000022,47468530"
569209609000000,"# SYNC_RESP,i000023,49468527"
569211609000000,"# SYNC_RESP,i000024,51468530"
569211906000000,"# health,t_ms=51755,samples=2000,read_errors_total=0,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
569213609000000,"# SYNC_RESP,i000025,53468525"
569215609000000,"# SYNC_RESP,i000026,55468530"
569216906000000,"# health,t_ms=56755,samples=2250,read_errors_total=0,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
569217609000000,"# SYNC_RESP,i000027,57468526"
569219609000000,"# SYNC_RESP,i000028,59468530"
569221609000000,"# SYNC_RESP,i000029,61468526"
569221906000000,"# health,t_ms=61755,samples=2500,read_errors_total=0,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
569223609000000,"# SYNC_RESP,i000030,63468530"
569225609000000,"# SYNC_RESP,i000031,65467527"
569226906000000,"# health,t_ms=66755,samples=2750,read_errors_total=0,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
569227609000000,"# SYNC_RESP,i000032,67467530"
569229609000000,"# SYNC_RESP,i000033,69467526"
569231609000000,"# SYNC_RESP,i000034,71467530"
569231906000000,"# health,t_ms=71755,samples=3000,read_errors_total=0,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
569233609000000,"# SYNC_RESP,i000035,73467524"
