device_id,session_id,sequence,device_timestamp_us,host_capture_monotonic_ns,host_received_monotonic_ns,width,height,jpeg_bytes,motion_score,relative_path
cam01,fusion_20260818T182612Z,2,360052785,569174273446954,569175000000000,320,240,5470,,frames/0000000002.jpg
cam01,fusion_20260818T182612Z,3,361133314,569175323736062,569176343000000,320,240,5471,0.008078175596892834,frames/0000000003.jpg
cam01,fusion_20260818T182612Z,4,361961734,569176128971740,569177828000000,320,240,5432,0.0075471303425729275,frames/0000000004.jpg
cam01,fusion_20260818T182612Z,5,363618557,569177739426573,569179140000000,320,240,5574,0.01174229010939598,frames/0000000005.jpg
cam01,fusion_20260818T182612Z,6,365023278,569179104834780,569180734000000,320,240,5655,0.0941663607954979,frames/0000000006.jpg
cam01,fusion_20260818T182612Z,7,366968235,569180995359840,569181359000000,320,240,6511,0.087274931371212,frames/0000000007.jpg
cam01,fusion_20260818T182612Z,8,367976619,569181975523011,569183250000000,320,240,6675,0.028033936396241188,frames/0000000008.jpg
cam01,fusion_20260818T182612Z,9,369057282,569183025942368,569186062000000,320,240,6830,0.05251419544219971,frames/0000000009.jpg
cam01,fusion_20260818T182612Z,10,373235238,569187086973288,569192937000000,320,240,6972,0.09047671407461166,frames/0000000010.jpg
cam01,fusion_20260818T182612Z,11,373271383,569187122106727,569193140000000,320,240,7143,0.014286509715020657,frames/0000000011.jpg
cam01,fusion_20260818T182612Z,12,380222866,569193879044186,569193796000000,320,240,7331,0.019754767417907715,frames/0000000012.jpg
cam01,fusion_20260818T182612Z,13,380835149,569194474191716,569194343000000,320,240,6861,0.015784211456775665,frames/0000000013.jpg
cam01,fusion_20260818T182612Z,14,381231292,569194859248182,569195750000000,320,240,7350,0.017089154571294785,frames/0000000014.jpg
cam01,fusion_20260818T182612Z,15,381771558,569195384394194,569196078000000,320,240,7544,0.03207773715257645,frames/0000000015.jpg
cam01,fusion_20260818T182612Z,16,383140248,569196714779772,569197531000000,320,240,7377,0.08128083497285843,frames/0000000016.jpg
cam01,fusion_20260818T182612Z,17,383176376,569196749896687,569198000000000,320,240,7197,0.01647336222231388,frames/0000000017.jpg
cam01,fusion_20260818T182612Z,18,385085280,569198605377732,569199062000000,320,240,6817,0.035041444003582,frames/0000000018.jpg
cam01,fusion_20260818T182612Z,19,385409441,569198920466700,569199218000000,320,240,6605,0.07992442697286606,frames/0000000019.jpg
cam01,fusion_20260818T182612Z,20,386273870,569199760703624,569199734000000,320,240,6985,0.08917856216430664,frames/0000000020.jpg
cam01,fusion_20260818T182612Z,21,386706045,569200180783691,569200031000000,320,240,7328,0.028664710000157356,frames/0000000021.jpg
cam01,fusion_20260818T182612Z,22,387138303,569200600944436,569200562000000,320,240,7011,0.03076948970556259,frames/0000000022.jpg
cam01,fusion_20260818T182612Z,23,387678571,569201126092391,569203718000000,320,240,6926,0.034193750470876694,frames/0000000023.jpg
cam01,fusion_20260818T182612Z,24,387750599,569201196104602,569204234000000,320,240,7151,0.024565614759922028,frames/0000000024.jpg
cam01,fusion_20260818T182612Z,25,391388526,569204732219877,569204640000000,320,240,7190,0.11460735648870468,frames/0000000025.jpg
cam01,fusion_20260818T182612Z,26,391748594,569205082210944,569205390000000,320,240,7108,0.03843360021710396,frames/0000000026.jpg
cam01,fusion_20260818T182612Z,27,392288756,569205607255867,569205703000000,320,240,6864,0.0740322396159172,frames/0000000027.jpg
cam01,fusion_20260818T182612Z,28,392324887,569205642375698,569205859000000,320,240,6769,0.024644847959280014,frames/0000000028.jpg
cam01,fusion_20260818T182612Z,29,392973220,569206272564326,569205953000000,320,240,6902,0.05730987712740898,frames/0000000029.jpg
cam01,fusion_20260818T182612Z,30,393081281,569206377601110,569211328000000,320,240,6844,0.02141411416232586,frames/0000000030.jpg
cam01,fusion_20260818T182612Z,31,393801640,569207077800004,569212750000000,320,240,6628,0.04842643812298775,frames/0000000031.jpg
cam01,fusion_20260818T182612Z,32,398519948,569211664060528,569212890000000,320,240,6267,0.14256788790225983,frames/0000000032.jpg
cam01,fusion_20260818T182612Z,33,399960692,569213064483590,569212968000000,320,240,7159,0.0910300761461258,frames/0000000033.jpg
cam01,fusion_20260818T182612Z,34,399996820,569213099600504,569213859000000,320,240,7172,0.010680028237402439,frames/0000000034.jpg
cam01,fusion_20260818T182612Z,35,400645143,569213729779412,569214812000000,320,240,7158,0.017611300572752953,frames/0000000035.jpg
cam01,fusion_20260818T182612Z,36,401509366,569214569816101,569215187000000,320,240,6742,0.08218001574277878,frames/0000000036.jpg
cam01,fusion_20260818T182612Z,37,402085757,569215130076112,569215343000000,320,240,6703,0.09758977591991425,frames/0000000037.jpg
cam01,fusion_20260818T182612Z,38,402409821,569215445070794,569215593000000,320,240,6432,0.05925091728568077,frames/0000000038.jpg
cam01,fusion_20260818T182612Z,39,402518003,569215550225192,569215750000000,320,240,6476,0.026358913630247116,frames/0000000039.jpg
cam01,fusion_20260818T182612Z,40,402842307,569215865453158,569215843000000,320,240,7264,0.04119357839226723,frames/0000000040.jpg
cam01,fusion_20260818T182612Z,41,402878240,569215900380530,569215937000000,320,240,7183,0.012301758863031864,frames/0000000041.jpg
cam01,fusion_20260818T182612Z,42,403058220,569216075323575,569217218000000,320,240,7143,0.017719857394695282,frames/0000000042.jpg
cam01,fusion_20260818T182612Z,43,403454459,569216460473354,569217375000000,320,240,6852,0.019294746220111847,frames/0000000043.jpg
cam01,fusion_20260818T182612Z,44,404462851,569217440644302,569219609000000,320,240,7491,0.022038942202925682,frames/0000000044.jpg
cam01,fusion_20260818T182612Z,45,405687565,569218631083220,569219796000000,320,240,6678,0.09684645384550095,frames/0000000045.jpg
cam01,fusion_20260818T182612Z,46,406876187,569219786440216,569219937000000,320,240,6383,0.10140366852283478,frames/0000000046.jpg
cam01,fusion_20260818T182612Z,47,406912200,569219821445349,569220031000000,320,240,6231,0.017270103096961975,frames/0000000047.jpg
cam01,fusion_20260818T182612Z,48,406984186,569219891416735,569220062000000,320,240,6214,0.015515624545514584,frames/0000000048.jpg
cam01,fusion_20260818T182612Z,49,407164188,569220066381164,569220187000000,320,240,6988,0.01523269060999155,frames/0000000049.jpg
cam01,fusion_20260818T182612Z,50,407272345,569220171511262,569220265000000,320,240,7040,0.009710239246487617,frames/0000000050.jpg
cam01,fusion_20260818T182612Z,51,407344472,569220241619702,569220468000000,320,240,6524,0.016376787796616554,frames/0000000051.jpg
cam01,fusion_20260818T182612Z,52,407452334,569220346463055,569220890000000,320,240,6970,0.013982824981212616,frames/0000000052.jpg
cam01,fusion_20260818T182612Z,53,407776487,569220661544247,569221421000000,320,240,7150,0.012556781060993671,frames/0000000053.jpg
cam01,fusion_20260818T182612Z,54,408208833,569221081790528,569222875000000,320,240,6828,0.01636851392686367,frames/0000000054.jpg
cam01,fusion_20260818T182612Z,55,409181340,569222027080760,569222968000000,320,240,7426,0.043137066066265106,frames/0000000055.jpg
cam01,fusion_20260818T182612Z,56,410117734,569222937268658,569223812000000,320,240,7349,0.091429203748703,frames/0000000056.jpg
cam01,fusion_20260818T182612Z,57,410513964,569223322409689,569225359000000,320,240,6746,0.057673972100019455,frames/0000000057.jpg
cam01,fusion_20260818T182612Z,58,411486519,569224267746578,569227171000000,320,240,7104,0.026477260515093803,frames/0000000058.jpg
cam01,fusion_20260818T182612Z,59,412819022,569225562957892,569228562000000,320,240,7600,0.019827835261821747,frames/0000000059.jpg
cam01,fusion_20260818T182612Z,60,414872154,569227558630545,569228984000000,320,240,7634,0.011537768878042698,frames/0000000060.jpg
cam01,fusion_20260818T182612Z,61,416096767,569228748971290,569229437000000,320,240,7456,0.010781063698232174,frames/0000000061.jpg
cam01,fusion_20260818T182612Z,62,416133709,569228784879424,569229609000000,320,240,7578,0.01061151921749115,frames/0000000062.jpg
cam01,fusion_20260818T182612Z,63,416709136,569229344202413,569229875000000,320,240,7234,0.012004204094409943,frames/0000000063.jpg
