host_received_monotonic_ns,message
482827718000000,# FusionSense timestamped IMU USB stream
482827734000000,"# format=IMU,1,device_id,session_id,seq,t_device_us,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps"
482827734000000,"# configured_hz=50,accel_range_g=2,gyro_range_dps=250"
482827750000000,"# i2c_scan,pins=21|22,addresses=0x68"
482827953000000,# mpu_who_am_i=0x70
482827953000000,# mpu_i2c_address=0x68
482827953000000,# mpu_model=MPU-6500
482827953000000,"# calibration,keep_sensor_stationary,seconds=5"
482832953000000,"# calibration_ok,accel_bias_g=0.00106|0.00006|0.00115,gyro_bias_dps=-0.5183|0.6976|0.1343"
482832968000000,# acquisition_started
482832968000000,"# session_set,id=fusion_20260817T182717Z"
482833750000000,"# session_set,id=fusion_20260817T182717Z"
482833812000000,"# SYNC_RESP,i000001,6540524"
482834015000000,"# SYNC_RESP,i000002,6799530"
482834265000000,"# SYNC_RESP,i000003,7056523"
482834531000000,"# SYNC_RESP,i000004,7316530"
482834765000000,"# SYNC_RESP,i000005,7556540"
482835031000000,"# SYNC_RESP,i000006,7816529"
482837031000000,"# SYNC_RESP,i000007,9816549"
482837968000000,"# health,t_ms=10744,samples=250,read_errors_total=0,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
482839031000000,"# SYNC_RESP,i000008,11817529"
482841031000000,"# SYNC_RESP,i000009,13816524"
482842968000000,"# health,t_ms=15744,samples=500,read_errors_total=0,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
482843031000000,"# SYNC_RESP,i000010,15817529"
482845031000000,"# SYNC_RESP,i000011,17816524"
482847031000000,"# SYNC_RESP,i000012,19816529"
482847968000000,"# health,t_ms=20744,samples=750,read_errors_total=0,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
482849031000000,"# SYNC_RESP,i000013,21817524"
482851031000000,"# SYNC_RESP,i000014,23816529"
482852968000000,"# health,t_ms=25744,samples=1000,read_errors_total=0,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
482853031000000,"# SYNC_RESP,i000015,25817524"
482855031000000,"# SYNC_RESP,i000016,27816529"
482857031000000,"# SYNC_RESP,i000017,29816524"
482857968000000,"# health,t_ms=30744,samples=1250,read_errors_total=0,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
482859031000000,"# SYNC_RESP,i000018,31816529"
482861031000000,"# SYNC_RESP,i000019,33816524"
482862968000000,"# health,t_ms=35744,samples=1500,read_errors_total=0,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
482863031000000,"# SYNC_RESP,i000020,35817529"
482865031000000,"# SYNC_RESP,i000021,37816524"
482867031000000,"# SYNC_RESP,i000022,39817529"
482867968000000,"# health,t_ms=40744,samples=1750,read_errors_total=0,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
482869031000000,"# SYNC_RESP,i000023,41817524"
482871031000000,"# SYNC_RESP,i000024,43816541"
482872968000000,"# health,t_ms=45744,samples=2000,read_errors_total=0,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
482873031000000,"# SYNC_RESP,i000025,45817524"
482875031000000,"# SYNC_RESP,i000026,47817529"
482877031000000,"# SYNC_RESP,i000027,49817524"
482877968000000,"# health,t_ms=50744,samples=2250,read_errors_total=0,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
482879031000000,"# SYNC_RESP,i000028,51817529"
482881031000000,"# SYNC_RESP,i000029,53817524"
482882968000000,"# health,t_ms=55744,samples=2500,read_errors_total=0,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
482883031000000,"# SYNC_RESP,i000030,55816529"
482885031000000,"# SYNC_RESP,i000031,57816524"
482887031000000,"# SYNC_RESP,i000032,59817529"
482887968000000,"# health,t_ms=60744,samples=2750,read_errors_total=0,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
482889031000000,"# SYNC_RESP,i000033,61816524"
482891031000000,"# SYNC_RESP,i000034,63816529"
482892968000000,"# health,t_ms=65744,samples=3000,read_errors_total=0,read_errors_window=0,missed_slots_total=0,missed_slots_window=0,effective_hz=50.00"
482893031000000,"# SYNC_RESP,i000035,65816524"
