host_monotonic_ns,t_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,schema_version,device_id,session_id,sequence,device_timestamp_us,host_capture_monotonic_ns
482833750000000,5764,-0.671,-0.036,-0.733,0.13,0.07,-0.07,1,imu01,fusion_20260817T182717Z,0,5764276,482832971676921
482833750000000,5784,-0.676,-0.036,-0.737,0.01,-0.12,-0.13,1,imu01,fusion_20260817T182717Z,1,5784272,482832991672200
482833750000000,5804,-0.673,-0.034,-0.733,0.02,-0.03,0.02,1,imu01,fusion_20260817T182717Z,2,5804276,482833011675480
482833750000000,5824,-0.675,-0.037,-0.73,-0.2,0.05,-0.07,1,imu01,fusion_20260817T182717Z,3,5824272,482833031670759
482833750000000,5844,-0.673,-0.034,-0.732,-0.02,-0.0,0.01,1,imu01,fusion_20260817T182717Z,4,5844276,482833051674038
482833765000000,5864,-0.673,-0.033,-0.737,-0.11,0.0,-0.07,1,imu01,fusion_20260817T182717Z,5,5864272,482833071669318
482833765000000,5884,-0.676,-0.034,-0.74,0.04,-0.22,-0.08,1,imu01,fusion_20260817T182717Z,6,5884276,482833091672597
482833765000000,5904,-0.676,-0.039,-0.735,-0.03,0.18,-0.01,1,imu01,fusion_20260817T182717Z,7,5904272,482833111667876
482833765000000,5924,-0.677,-0.036,-0.736,-0.15,-0.14,-0.04,1,imu01,fusion_20260817T182717Z,8,5924276,482833131671156
482833765000000,5944,-0.68,-0.034,-0.739,-0.13,-0.12,0.06,1,imu01,fusion_20260817T182717Z,9,5944272,482833151666435
482833765000000,5964,-0.68,-0.034,-0.732,-0.01,-0.07,0.09,1,imu01,fusion_20260817T182717Z,10,5964276,482833171669714
482833765000000,5984,-0.677,-0.034,-0.729,0.07,0.08,-0.0,1,imu01,fusion_20260817T182717Z,11,5984272,482833191664994
482833765000000,6004,-0.675,-0.032,-0.742,0.08,-0.11,0.0,1,imu01,fusion_20260817T182717Z,12,6004276,482833211668273
482833765000000,6024,-0.675,-0.037,-0.737,0.1,-0.04,0.04,1,imu01,fusion_20260817T182717Z,13,6024272,482833231663553
482833781000000,6044,-0.675,-0.037,-0.739,-0.02,0.03,0.06,1,imu01,fusion_20260817T182717Z,14,6044276,482833251666832
482833781000000,6064,-0.676,-0.036,-0.724,-0.07,0.1,-0.01,1,imu01,fusion_20260817T182717Z,15,6064272,482833271662111
482833781000000,6084,-0.674,-0.034,-0.741,0.01,-0.04,-0.03,1,imu01,fusion_20260817T182717Z,16,6084276,482833291665391
482833781000000,6104,-0.675,-0.036,-0.733,0.11,0.02,-0.07,1,imu01,fusion_20260817T182717Z,17,6104272,482833311660670
482833781000000,6124,-0.672,-0.038,-0.736,-0.02,0.15,-0.07,1,imu01,fusion_20260817T182717Z,18,6124276,482833331663949
482833781000000,6144,-0.671,-0.034,-0.74,-0.07,0.04,0.0,1,imu01,fusion_20260817T182717Z,19,6144272,482833351659229
482833781000000,6164,-0.675,-0.034,-0.734,-0.2,-0.11,-0.1,1,imu01,fusion_20260817T182717Z,20,6164276,482833371662508
482833781000000,6184,-0.68,-0.036,-0.731,-0.02,-0.13,-0.01,1,imu01,fusion_20260817T182717Z,21,6184272,482833391657788
482833781000000,6204,-0.679,-0.036,-0.737,-0.15,0.13,-0.01,1,imu01,fusion_20260817T182717Z,22,6204276,482833411661067
482833781000000,6224,-0.678,-0.032,-0.736,-0.04,-0.05,0.03,1,imu01,fusion_20260817T182717Z,23,6224272,482833431656346
482833796000000,6244,-0.676,-0.036,-0.736,0.14,0.1,-0.08,1,imu01,fusion_20260817T182717Z,24,6244276,482833451659625
482833796000000,6264,-0.677,-0.036,-0.736,-0.12,-0.29,0.08,1,imu01,fusion_20260817T182717Z,25,6264272,482833471654905
482833796000000,6284,-0.677,-0.041,-0.736,0.28,0.35,-0.03,1,imu01,fusion_20260817T182717Z,26,6284276,482833491658184
482833796000000,6304,-0.676,-0.037,-0.746,0.08,0.01,0.03,1,imu01,fusion_20260817T182717Z,27,6304272,482833511653464
482833796000000,6324,-0.675,-0.04,-0.742,-0.14,-0.03,0.1,1,imu01,fusion_20260817T182717Z,28,6324276,482833531656743
482833796000000,6344,-0.678,-0.038,-0.734,0.22,0.04,0.11,1,imu01,fusion_20260817T182717Z,29,6344272,482833551652022
482833796000000,6364,-0.678,-0.037,-0.741,0.14,0.12,0.05,1,imu01,fusion_20260817T182717Z,30,6364276,482833571655302
482833796000000,6384,-0.672,-0.034,-0.736,0.11,-0.12,-0.15,1,imu01,fusion_20260817T182717Z,31,6384272,482833591650581
482833796000000,6404,-0.676,-0.036,-0.731,0.04,0.01,0.01,1,imu01,fusion_20260817T182717Z,32,6404276,482833611653860
482833796000000,6424,-0.675,-0.039,-0.729,0.12,0.15,-0.0,1,imu01,fusion_20260817T182717Z,33,6424272,482833631649140
482833796000000,6444,-0.677,-0.032,-0.734,-0.05,0.16,0.03,1,imu01,fusion_20260817T182717Z,34,6444276,482833651652419
482833796000000,6464,-0.674,-0.036,-0.736,-0.0,-0.06,-0.01,1,imu01,fusion_20260817T182717Z,35,6464272,482833671647699
482833796000000,6484,-0.678,-0.033,-0.733,-0.02,-0.06,-0.03,1,imu01,fusion_20260817T182717Z,36,6484276,482833691650978
482833796000000,6504,-0.677,-0.033,-0.735,-0.08,0.08,0.05,1,imu01,fusion_20260817T182717Z,37,6504272,482833711646257
482833812000000,6524,-0.677,-0.033,-0.733,-0.04,-0.05,0.11,1,imu01,fusion_20260817T182717Z,38,6524276,482833731649536
482833812000000,6544,-0.676,-0.035,-0.741,0.01,0.04,-0.05,1,imu01,fusion_20260817T182717Z,39,6544272,482833751644816
482833812000000,6564,-0.678,-0.037,-0.737,-0.12,-0.03,-0.03,1,imu01,fusion_20260817T182717Z,40,6564276,482833771648095
482833812000000,6584,-0.678,-0.034,-0.729,-0.03,0.07,0.06,1,imu01,fusion_20260817T182717Z,41,6584272,482833791643375
482833828000000,6604,-0.674,-0.039,-0.735,-0.11,-0.09,0.03,1,imu01,fusion_20260817T182717Z,42,6604276,482833811646654
482833843000000,6624,-0.678,-0.041,-0.732,0.01,-0.04,0.03,1,imu01,fusion_20260817T182717Z,43,6624272,482833831641933
482833859000000,6644,-0.675,-0.035,-0.729,0.01,-0.1,0.06,1,imu01,fusion_20260817T182717Z,44,6644276,482833851645213
482833875000000,6664,-0.676,-0.036,-0.737,-0.21,-0.01,-0.09,1,imu01,fusion_20260817T182717Z,45,6664272,482833871640492
482833906000000,6684,-0.678,-0.035,-0.734,0.12,0.03,0.06,1,imu01,fusion_20260817T182717Z,46,6684276,482833891643771
482833921000000,6704,-0.678,-0.034,-0.737,0.11,0.02,0.05,1,imu01,fusion_20260817T182717Z,47,6704272,482833911639051
482833937000000,6724,-0.678,-0.035,-0.735,0.22,-0.01,0.08,1,imu01,fusion_20260817T182717Z,48,6724276,482833931642330
482833968000000,6744,-0.677,-0.032,-0.735,-0.17,-0.02,0.0,1,imu01,fusion_20260817T182717Z,49,6744272,482833951637610
482833984000000,6764,-0.68,-0.031,-0.733,0.1,0.02,-0.14,1,imu01,fusion_20260817T182717Z,50,6764276,482833971640889
482834000000000,6784,-0.673,-0.033,-0.736,-0.21,-0.16,-0.11,1,imu01,fusion_20260817T182717Z,51,6784272,482833991636168
482834015000000,6804,-0.681,-0.038,-0.736,0.14,0.23,0.1,1,imu01,fusion_20260817T182717Z,52,6804275,482834011638448
482834046000000,6824,-0.676,-0.037,-0.743,0.04,0.15,0.03,1,imu01,fusion_20260817T182717Z,53,6824272,482834031634727
482834062000000,6844,-0.675,-0.035,-0.73,0.08,0.01,-0.1,1,imu01,fusion_20260817T182717Z,54,6844276,482834051638006
482834078000000,6864,-0.673,-0.033,-0.733,0.03,-0.11,-0.04,1,imu01,fusion_20260817T182717Z,55,6864272,482834071633286
482834093000000,6884,-0.676,-0.034,-0.732,-0.08,0.13,0.01,1,imu01,fusion_20260817T182717Z,56,6884276,482834091636565
482834125000000,6904,-0.677,-0.034,-0.735,0.18,0.13,0.08,1,imu01,fusion_20260817T182717Z,57,6904272,482834111631844
482834140000000,6924,-0.676,-0.034,-0.736,-0.02,-0.03,-0.02,1,imu01,fusion_20260817T182717Z,58,6924276,482834131635124
482834156000000,6944,-0.679,-0.037,-0.733,0.09,-0.04,-0.06,1,imu01,fusion_20260817T182717Z,59,6944272,482834151630403
482834187000000,6964,-0.681,-0.038,-0.731,-0.19,0.18,-0.05,1,imu01,fusion_20260817T182717Z,60,6964276,482834171633682
482834203000000,6984,-0.677,-0.034,-0.738,-0.05,-0.13,0.03,1,imu01,fusion_20260817T182717Z,61,6984272,482834191628962
482834218000000,7004,-0.673,-0.036,-0.734,-0.16,-0.07,-0.04,1,imu01,fusion_20260817T182717Z,62,7004276,482834211632241
482834234000000,7024,-0.676,-0.038,-0.74,0.5,0.21,0.03,1,imu01,fusion_20260817T182717Z,63,7024272,482834231627521
482834265000000,7044,-0.676,-0.034,-0.741,0.28,0.25,-0.12,1,imu01,fusion_20260817T182717Z,64,7044276,482834251630800
482834281000000,7064,-0.676,-0.038,-0.732,-0.25,-0.21,-0.0,1,imu01,fusion_20260817T182717Z,65,7064272,482834271626079
482834296000000,7084,-0.677,-0.034,-0.738,-0.15,-0.06,0.03,1,imu01,fusion_20260817T182717Z,66,7084276,482834291629358
482834328000000,7104,-0.68,-0.037,-0.736,-0.31,-0.25,-0.01,1,imu01,fusion_20260817T182717Z,67,7104272,482834311624638
