host_monotonic_ns,t_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,schema_version,device_id,session_id,sequence,device_timestamp_us,host_capture_monotonic_ns
482739796000000,20322,-0.672,-0.039,-0.737,-0.1,-0.43,-0.19,1,imu01,fusion_20260817T182528Z,1,20322834,482739255829464
482739796000000,20341,-0.677,-0.043,-0.738,-0.29,-0.14,-0.19,1,imu01,fusion_20260817T182528Z,2,20341430,482739274423089
482739796000000,20361,-0.674,-0.041,-0.735,-0.07,-0.0,-0.11,1,imu01,fusion_20260817T182528Z,3,20361434,482739294424533
482739796000000,20381,-0.676,-0.038,-0.737,-0.12,-0.44,-0.29,1,imu01,fusion_20260817T182528Z,4,20381430,482739314417979
482739796000000,20401,-0.672,-0.041,-0.731,-0.1,0.33,-0.18,1,imu01,fusion_20260817T182528Z,5,20401434,482739334419424
482739812000000,20421,-0.674,-0.043,-0.735,0.36,0.4,-0.38,1,imu01,fusion_20260817T182528Z,6,20421430,482739354412869
482739812000000,20441,-0.675,-0.041,-0.743,0.02,0.02,-0.06,1,imu01,fusion_20260817T182528Z,7,20441434,482739374414314
482739812000000,20461,-0.679,-0.04,-0.733,-0.55,-0.27,-0.24,1,imu01,fusion_20260817T182528Z,8,20461430,482739394407759
482739812000000,20481,-0.674,-0.035,-0.733,-0.13,-0.15,-0.23,1,imu01,fusion_20260817T182528Z,9,20481434,482739414409204
482739812000000,20501,-0.675,-0.039,-0.741,-0.05,0.34,-0.21,1,imu01,fusion_20260817T182528Z,10,20501430,482739434402649
482739812000000,20521,-0.673,-0.042,-0.736,0.26,-0.05,-0.3,1,imu01,fusion_20260817T182528Z,11,20521434,482739454404094
482739812000000,20541,-0.676,-0.041,-0.735,0.08,0.22,-0.17,1,imu01,fusion_20260817T182528Z,12,20541430,482739474397539
482739812000000,20561,-0.676,-0.038,-0.737,0.38,-0.04,-0.42,1,imu01,fusion_20260817T182528Z,13,20561434,482739494398984
482739812000000,20581,-0.679,-0.04,-0.739,0.39,-0.02,-0.36,1,imu01,fusion_20260817T182528Z,14,20581430,482739514392430
482739828000000,20601,-0.675,-0.036,-0.739,0.27,-0.05,-0.58,1,imu01,fusion_20260817T182528Z,15,20601434,482739534393874
482739828000000,20621,-0.677,-0.037,-0.736,-0.04,-0.1,-0.38,1,imu01,fusion_20260817T182528Z,16,20621430,482739554387320
482739828000000,20641,-0.68,-0.039,-0.737,-0.63,-0.18,-0.03,1,imu01,fusion_20260817T182528Z,17,20641434,482739574388764
