host_received_monotonic_ns,message
482719453000000,# FusionSense timestamped IMU USB stream
482719453000000,"# format=IMU,1,device_id,session_id,seq,t_device_us,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps"
482719453000000,"# configured_hz=50,accel_range_g=2,gyro_range_dps=250"
482719468000000,"# i2c_scan,pins=21|22,addresses=none"
482719484000000,"# error,mpu_not_found_check_power_sda_scl,retry_ms=2000"
482721500000000,"# i2c_scan,pins=21|22,addresses=none"
482721500000000,"# error,mpu_not_found_check_power_sda_scl,retry_ms=2000"
482723515000000,"# i2c_scan,pins=21|22,addresses=none"
482723515000000,"# error,mpu_not_found_check_power_sda_scl,retry_ms=2000"
482725531000000,"# i2c_scan,pins=21|22,addresses=none"
482725531000000,"# error,mpu_not_found_check_power_sda_scl,retry_ms=2000"
482727546000000,"# i2c_scan,pins=21|22,addresses=none"
482727562000000,"# error,mpu_not_found_check_power_sda_scl,retry_ms=2000"
482729578000000,"# i2c_scan,pins=21|22,addresses=0x68"
482729781000000,# mpu_who_am_i=0x70
482729781000000,# mpu_i2c_address=0x68
482729781000000,# mpu_model=MPU-6500
482729781000000,"# calibration,keep_sensor_stationary,seconds=5"
482730375000000,"# calibration_failed,reason=i2c_read"
482730375000000,"# calibration_retry,keep_sensor_stationary"
482731375000000,"# calibration,keep_sensor_stationary,seconds=5"
482731375000000,"# calibration_failed,reason=i2c_read"
482731390000000,"# calibration_retry,keep_sensor_stationary"
482732375000000,"# calibration,keep_sensor_stationary,seconds=5"
482733218000000,"# calibration_failed,reason=i2c_read"
482733218000000,"# calibration_retry,keep_sensor_stationary"
482734218000000,"# calibration,keep_sensor_stationary,seconds=5"
482739218000000,"# calibration_ok,accel_bias_g=-0.00056|-0.00004|-0.00061,gyro_bias_dps=-0.5072|0.5809|0.4075"
482739218000000,# acquisition_started
482739234000000,"# session_set,id=fusion_20260817T182528Z"
482739796000000,"# session_set,id=fusion_20260817T182528Z"
482739796000000,"# session_set,id=fusion_20260817T182528Z"
482739796000000,"# session_set,id=fusion_20260817T182528Z"
482739796000000,"# session_set,id=fusion_20260817T182528Z"
482739796000000,"# session_set,id=fusion_20260817T182528Z"
482739796000000,"# session_set,id=fusion_20260817T182528Z"
482739796000000,"# session_set,id=fusion_20260817T182528Z"
482739796000000,"# session_set,id=fusion_20260817T182528Z"
482739843000000,"# SYNC_RESP,i000001,20859530"
482740046000000,"# SYNC_RESP,i000002,21114535"
482740312000000,"# SYNC_RESP,i000003,21374530"
482740578000000,"# SYNC_RESP,i000004,21634535"
482740812000000,"# SYNC_RESP,i000005,21874530"
482741078000000,"# SYNC_RESP,i000006,22134534"
482743078000000,"# SYNC_RESP,i000007,24134530"
482744234000000,"# health,t_ms=25281,samples=249,read_errors_total=0,read_errors_window=0,missed_slots_total=1,missed_slots_window=1,effective_hz=49.80"
482745078000000,"# SYNC_RESP,i000008,26134534"
482747062000000,"# SYNC_RESP,i000009,28133530"
482749062000000,"# SYNC_RESP,i000010,30133534"
482749234000000,"# health,t_ms=30281,samples=499,read_errors_total=0,read_errors_window=0,missed_slots_total=1,missed_slots_window=0,effective_hz=50.00"
482751062000000,"# SYNC_RESP,i000011,32133537"
482753062000000,"# SYNC_RESP,i000012,34133534"
482754234000000,"# health,t_ms=35281,samples=749,read_errors_total=0,read_errors_window=0,missed_slots_total=1,missed_slots_window=0,effective_hz=50.00"
482755062000000,"# SYNC_RESP,i000013,36133530"
482757062000000,"# SYNC_RESP,i000014,38133547"
482759062000000,"# SYNC_RESP,i000015,40133551"
482759234000000,"# health,t_ms=40281,samples=999,read_errors_total=0,read_errors_window=0,missed_slots_total=1,missed_slots_window=0,effective_hz=50.00"
482761062000000,"# SYNC_RESP,i000016,42134534"
482763062000000,"# SYNC_RESP,i000017,44134530"
482764234000000,"# health,t_ms=45281,samples=1249,read_errors_total=0,read_errors_window=0,missed_slots_total=1,missed_slots_window=0,effective_hz=50.00"
482765062000000,"# SYNC_RESP,i000018,46134534"
482767062000000,"# SYNC_RESP,i000019,48134530"
482769062000000,"# SYNC_RESP,i000020,50134534"
482769234000000,"# health,t_ms=50281,samples=1499,read_errors_total=0,read_errors_window=0,missed_slots_total=1,missed_slots_window=0,effective_hz=50.00"
482771062000000,"# SYNC_RESP,i000021,52134530"
482773062000000,"# SYNC_RESP,i000022,54134534"
482774234000000,"# health,t_ms=55281,samples=1749,read_errors_total=0,read_errors_window=0,missed_slots_total=1,missed_slots_window=0,effective_hz=50.00"
482775062000000,"# SYNC_RESP,i000023,56134530"
482777062000000,"# SYNC_RESP,i000024,58133534"
482779062000000,"# SYNC_RESP,i000025,60133530"
482779234000000,"# health,t_ms=60281,samples=1999,read_errors_total=0,read_errors_window=0,missed_slots_total=1,missed_slots_window=0,effective_hz=50.00"
482781062000000,"# SYNC_RESP,i000026,62134534"
482783062000000,"# SYNC_RESP,i000027,64133530"
482784234000000,"# health,t_ms=65281,samples=2249,read_errors_total=0,read_errors_window=0,missed_slots_total=1,missed_slots_window=0,effective_hz=50.00"
482785062000000,"# SYNC_RESP,i000028,66133534"
482787062000000,"# SYNC_RESP,i000029,68133530"
482789062000000,"# SYNC_RESP,i000030,70133534"
482789234000000,"# health,t_ms=70281,samples=2499,read_errors_total=0,read_errors_window=0,missed_slots_total=1,missed_slots_window=0,effective_hz=50.00"
482791062000000,"# SYNC_RESP,i000031,72134530"
482793062000000,"# SYNC_RESP,i000032,74133556"
482794234000000,"# health,t_ms=75281,samples=2749,read_errors_total=0,read_errors_window=0,missed_slots_total=1,missed_slots_window=0,effective_hz=50.00"
482795062000000,"# SYNC_RESP,i000033,76134530"
482797062000000,"# SYNC_RESP,i000034,78134534"
482799062000000,"# SYNC_RESP,i000035,80134530"
482799234000000,"# health,t_ms=80281,samples=2999,read_errors_total=0,read_errors_window=0,missed_slots_total=1,missed_slots_window=0,effective_hz=50.00"
