device_id,request_id,device_time_us,host_send_monotonic_ns,host_receive_monotonic_ns,host_midpoint_monotonic_ns,round_trip_ns
imu01,i000001,20859530,482739796000000,482739843000000,482739819500000,47000000
cam01,c000001,90711508,482739796000000,482740328000000,482740062000000,532000000
imu01,i000002,21114535,482740046000000,482740046000000,482740046000000,0
imu01,i000003,21374530,482740312000000,482740312000000,482740312000000,0
imu01,i000004,21634535,482740562000000,482740578000000,482740570000000,16000000
cam01,c000002,91380125,482740593000000,482740781000000,482740687000000,188000000
imu01,i000005,21874530,482740812000000,482740812000000,482740812000000,0
cam01,c000003,91773839,482741031000000,482741203000000,482741117000000,172000000
imu01,i000006,22134534,482741062000000,482741078000000,482741070000000,16000000
cam01,c000004,92204982,482741468000000,482741671000000,482741569500000,203000000
cam01,c000005,92651217,482741921000000,482742062000000,482741991500000,141000000
imu01,i000007,24134530,482743062000000,482743078000000,482743070000000,16000000
cam01,c000006,94801532,482744062000000,482744250000000,482744156000000,188000000
imu01,i000008,26134534,482745062000000,482745078000000,482745070000000,16000000
cam01,c000007,97026799,482746265000000,482746468000000,482746366500000,203000000
imu01,i000009,28133530,482747062000000,482747062000000,482747062000000,0
cam01,c000008,99240674,482748468000000,482748656000000,482748562000000,188000000
imu01,i000010,30133534,482749062000000,482749062000000,482749062000000,0
cam01,c000009,101401019,482750656000000,482750859000000,482750757500000,203000000
imu01,i000011,32133537,482751062000000,482751062000000,482751062000000,0
cam01,c000010,103556619,482752859000000,482752953000000,482752906000000,94000000
imu01,i000012,34133534,482753062000000,482753062000000,482753062000000,0
cam01,c000011,105703678,482754968000000,482755140000000,482755054000000,172000000
imu01,i000013,36133530,482755062000000,482755062000000,482755062000000,0
imu01,i000014,38133547,482757062000000,482757062000000,482757062000000,0
cam01,c000012,107867963,482757140000000,482757265000000,482757202500000,125000000
imu01,i000015,40133551,482759062000000,482759062000000,482759062000000,0
cam01,c000013,109990969,482759265000000,482759453000000,482759359000000,188000000
imu01,i000016,42134534,482761062000000,482761062000000,482761062000000,0
cam01,c000014,112193738,482761468000000,482761656000000,482761562000000,188000000
imu01,i000017,44134530,482763062000000,482763062000000,482763062000000,0
cam01,c000015,114372248,482763671000000,482763765000000,482763718000000,94000000
imu01,i000018,46134534,482765062000000,482765062000000,482765062000000,0
cam01,c000016,116485614,482765781000000,482765906000000,482765843500000,125000000
imu01,i000019,48134530,482767062000000,482767062000000,482767062000000,0
cam01,c000017,118647350,482767906000000,482768046000000,482767976000000,140000000
imu01,i000020,50134534,482769062000000,482769062000000,482769062000000,0
cam01,c000018,120757165,482770046000000,482770171000000,482770108500000,125000000
imu01,i000021,52134530,482771062000000,482771062000000,482771062000000,0
cam01,c000019,122907880,482772171000000,482772281000000,482772226000000,110000000
imu01,i000022,54134534,482773062000000,482773062000000,482773062000000,0
cam01,c000020,125015861,482774296000000,482774421000000,482774358500000,125000000
imu01,i000023,56134530,482775062000000,482775062000000,482775062000000,0
cam01,c000021,127130405,482776421000000,482776515000000,482776468000000,94000000
imu01,i000024,58133534,482777062000000,482777062000000,482777062000000,0
cam01,c000022,129251495,482778515000000,482778625000000,482778570000000,110000000
imu01,i000025,60133530,482779062000000,482779062000000,482779062000000,0
cam01,c000023,131356173,482780640000000,482780734000000,482780687000000,94000000
imu01,i000026,62134534,482781062000000,482781062000000,482781062000000,0
cam01,c000024,133450655,482782734000000,482782859000000,482782796500000,125000000
imu01,i000027,64133530,482783062000000,482783062000000,482783062000000,0
cam01,c000025,135649410,482784875000000,482785031000000,482784953000000,156000000
imu01,i000028,66133534,482785062000000,482785062000000,482785062000000,0
cam01,c000026,137759328,482787046000000,482787125000000,482787085500000,79000000
imu01,i000029,68133530,482787062000000,482787062000000,482787062000000,0
imu01,i000030,70133534,482789062000000,482789062000000,482789062000000,0
cam01,c000027,139910177,482789140000000,482789265000000,482789202500000,125000000
imu01,i000031,72134530,482791062000000,482791062000000,482791062000000,0
cam01,c000028,141996645,482791265000000,482791375000000,482791320000000,110000000
imu01,i000032,74133556,482793062000000,482793062000000,482793062000000,0
cam01,c000029,144133423,482793390000000,482793500000000,482793445000000,110000000
imu01,i000033,76134530,482795062000000,482795062000000,482795062000000,0
cam01,c000030,146207945,482795500000000,482795625000000,482795562500000,125000000
imu01,i000034,78134534,482797062000000,482797062000000,482797062000000,0
cam01,c000031,148386698,482797625000000,482798187000000,482797906000000,562000000
imu01,i000035,80134530,482799062000000,482799062000000,482799062000000,0
