device_id,session_id,sequence,device_timestamp_us,host_capture_monotonic_ns,host_received_monotonic_ns,width,height,jpeg_bytes,relative_path
cam01,fusion_20260817T182528Z,1,89882848,482739226823295,482739984000000,320,240,3209,frames/0000000001.jpg
cam01,fusion_20260817T182528Z,2,89990917,482739334874068,482740312000000,320,240,3184,frames/0000000002.jpg
cam01,fusion_20260817T182528Z,3,90531199,482739875064944,482740312000000,320,240,3173,frames/0000000003.jpg
cam01,fusion_20260817T182528Z,4,90567218,482739911077869,482740328000000,320,240,3171,frames/0000000004.jpg
cam01,fusion_20260817T182528Z,5,90711203,482740055038584,482740328000000,320,240,3141,frames/0000000005.jpg
cam01,fusion_20260817T182528Z,6,90855242,482740199053291,482740343000000,320,240,3175,frames/0000000006.jpg
cam01,fusion_20260817T182528Z,7,90891357,482740235162199,482740421000000,320,240,3166,frames/0000000007.jpg
cam01,fusion_20260817T182528Z,8,91035334,482740379114916,482740515000000,320,240,3166,frames/0000000008.jpg
cam01,fusion_20260817T182528Z,9,91107493,482740451261746,482740609000000,320,240,3188,frames/0000000009.jpg
cam01,fusion_20260817T182528Z,10,91215422,482740559172543,482740718000000,320,240,3232,frames/0000000010.jpg
cam01,fusion_20260817T182528Z,11,91323593,482740667325298,482740750000000,320,240,3229,frames/0000000011.jpg
cam01,fusion_20260817T182528Z,12,91431659,482740775373072,482740906000000,320,240,3239,frames/0000000012.jpg
cam01,fusion_20260817T182528Z,13,91539688,482740883383852,482741000000000,320,240,3213,frames/0000000013.jpg
cam01,fusion_20260817T182528Z,14,91611718,482740955401703,482741109000000,320,240,3203,frames/0000000014.jpg
cam01,fusion_20260817T182528Z,15,91719795,482741063460475,482741218000000,320,240,3208,frames/0000000015.jpg
cam01,fusion_20260817T182528Z,16,91827826,482741171473254,482741312000000,320,240,3222,frames/0000000016.jpg
cam01,fusion_20260817T182528Z,17,91935911,482741279540025,482741421000000,320,240,3198,frames/0000000017.jpg
cam01,fusion_20260817T182528Z,18,92007955,482741351571874,482741515000000,320,240,3206,frames/0000000018.jpg
cam01,fusion_20260817T182528Z,19,92115869,482741459467673,482741609000000,320,240,3183,frames/0000000019.jpg
cam01,fusion_20260817T182528Z,20,92224043,482741567623428,482741734000000,320,240,3178,frames/0000000020.jpg
cam01,fusion_20260817T182528Z,21,92332102,482741675664203,482741765000000,320,240,3191,frames/0000000021.jpg
cam01,fusion_20260817T182528Z,22,92440155,482741783698979,482741875000000,320,240,3192,frames/0000000022.jpg
cam01,fusion_20260817T182528Z,23,92512165,482741855696834,482742000000000,320,240,3226,frames/0000000023.jpg
cam01,fusion_20260817T182528Z,24,92620246,482741963759605,482742109000000,320,240,3251,frames/0000000024.jpg
cam01,fusion_20260817T182528Z,25,92728271,482742071766385,482742203000000,320,240,3249,frames/0000000025.jpg
cam01,fusion_20260817T182528Z,26,92836350,482742179827157,482742250000000,320,240,3213,frames/0000000026.jpg
cam01,fusion_20260817T182528Z,27,92908381,482742251846008,482742359000000,320,240,3197,frames/0000000027.jpg
cam01,fusion_20260817T182528Z,28,93016319,482742359765803,482742468000000,320,240,3204,frames/0000000028.jpg
cam01,fusion_20260817T182528Z,29,93124481,482742467909560,482742531000000,320,240,3221,frames/0000000029.jpg
cam01,fusion_20260817T182528Z,30,93232554,482742575964333,482742718000000,320,240,3205,frames/0000000030.jpg
cam01,fusion_20260817T182528Z,31,93340582,482742683974113,482742765000000,320,240,3219,frames/0000000031.jpg
cam01,fusion_20260817T182528Z,32,93412620,482742755999963,482742890000000,320,240,3236,frames/0000000032.jpg
cam01,fusion_20260817T182528Z,33,93520685,482742864046736,482743000000000,320,240,3242,frames/0000000033.jpg
cam01,fusion_20260817T182528Z,34,93628730,482742972073514,482743109000000,320,240,3240,frames/0000000034.jpg
cam01,fusion_20260817T182528Z,35,93736795,482743080120287,482743171000000,320,240,3235,frames/0000000035.jpg
cam01,fusion_20260817T182528Z,36,93808840,482743152153136,482743265000000,320,240,3254,frames/0000000036.jpg
cam01,fusion_20260817T182528Z,37,93916767,482743260061933,482743359000000,320,240,3286,frames/0000000037.jpg
cam01,fusion_20260817T182528Z,38,94024924,482743368200691,482743500000000,320,240,3267,frames/0000000038.jpg
cam01,fusion_20260817T182528Z,39,94132997,482743476255464,482743609000000,320,240,3255,frames/0000000039.jpg
cam01,fusion_20260817T182528Z,40,94241183,482743584423217,482743656000000,320,240,3257,frames/0000000040.jpg
cam01,fusion_20260817T182528Z,41,94313073,482743656301092,482743750000000,320,240,3243,frames/0000000041.jpg
cam01,fusion_20260817T182528Z,42,94421135,482743764344866,482743859000000,320,240,3206,frames/0000000042.jpg
cam01,fusion_20260817T182528Z,43,94529196,482743872387641,482743953000000,320,240,3222,frames/0000000043.jpg
cam01,fusion_20260817T182528Z,44,94637263,482743980436414,482744046000000,320,240,3189,frames/0000000044.jpg
cam01,fusion_20260817T182528Z,45,94709291,482744052452266,482744171000000,320,240,3238,frames/0000000045.jpg
cam01,fusion_20260817T182528Z,46,94817218,482744160361063,482744312000000,320,240,3165,frames/0000000046.jpg
cam01,fusion_20260817T182528Z,47,94925379,482744268503821,482744343000000,320,240,3218,frames/0000000047.jpg
cam01,fusion_20260817T182528Z,48,95033447,482744376553594,482744453000000,320,240,3222,frames/0000000048.jpg
cam01,fusion_20260817T182528Z,49,95141493,482744484581371,482744578000000,320,240,3224,frames/0000000049.jpg
cam01,fusion_20260817T182528Z,50,95213521,482744556597222,482744703000000,320,240,3255,frames/0000000050.jpg
cam01,fusion_20260817T182528Z,51,95321588,482744664645996,482744812000000,320,240,3248,frames/0000000051.jpg
cam01,fusion_20260817T182528Z,52,95429630,482744772669774,482744890000000,320,240,3204,frames/0000000052.jpg
cam01,fusion_20260817T182528Z,53,95537706,482744880727545,482744984000000,320,240,3221,frames/0000000053.jpg
cam01,fusion_20260817T182528Z,54,95609738,482744952747396,482745109000000,320,240,3240,frames/0000000054.jpg
cam01,fusion_20260817T182528Z,55,95717782,482745060773174,482745140000000,320,240,3271,frames/0000000055.jpg
cam01,fusion_20260817T182528Z,56,95825847,482745168819947,482745312000000,320,240,3219,frames/0000000056.jpg
cam01,fusion_20260817T182528Z,57,95933891,482745276845725,482745343000000,320,240,3235,frames/0000000057.jpg
cam01,fusion_20260817T182528Z,58,96041963,482745384899497,482745468000000,320,240,3222,frames/0000000058.jpg
cam01,fusion_20260817T182528Z,59,96114580,482745457504250,482745593000000,320,240,3234,frames/0000000059.jpg
cam01,fusion_20260817T182528Z,60,96222034,482745564940126,482745703000000,320,240,3233,frames/0000000060.jpg
cam01,fusion_20260817T182528Z,61,96330120,482745673007897,482745765000000,320,240,3251,frames/0000000061.jpg
cam01,fusion_20260817T182528Z,62,96438141,482745781010678,482745859000000,320,240,3208,frames/0000000062.jpg
cam01,fusion_20260817T182528Z,63,96510170,482745853027529,482745984000000,320,240,3246,frames/0000000063.jpg
cam01,fusion_20260817T182528Z,64,96618240,482745961079302,482746109000000,320,240,3216,frames/0000000064.jpg
cam01,fusion_20260817T182528Z,65,96726270,482746069091082,482746171000000,320,240,3214,frames/0000000065.jpg
cam01,fusion_20260817T182528Z,66,96834360,482746177162852,482746296000000,320,240,3212,frames/0000000066.jpg
cam01,fusion_20260817T182528Z,67,96942394,482746285178630,482746421000000,320,240,3200,frames/0000000067.jpg
cam01,fusion_20260817T182528Z,68,97014409,482746357181484,482746546000000,320,240,3204,frames/0000000068.jpg
cam01,fusion_20260817T182528Z,69,97122501,482746465255254,482746609000000,320,240,3193,frames/0000000069.jpg
cam01,fusion_20260817T182528Z,70,97230535,482746573271032,482746718000000,320,240,3241,frames/0000000070.jpg
cam01,fusion_20260817T182528Z,71,97338592,482746681309808,482746765000000,320,240,3261,frames/0000000071.jpg
cam01,fusion_20260817T182528Z,72,97410636,482746753341657,482746906000000,320,240,3250,frames/0000000072.jpg
cam01,fusion_20260817T182528Z,73,97518665,482746861352436,482747000000000,320,240,3217,frames/0000000073.jpg
cam01,fusion_20260817T182528Z,74,97626737,482746969406209,482747125000000,320,240,3231,frames/0000000074.jpg
cam01,fusion_20260817T182528Z,75,97734771,482747077421988,482747156000000,320,240,3217,frames/0000000075.jpg
cam01,fusion_20260817T182528Z,76,97842855,482747185487758,482747250000000,320,240,3219,frames/0000000076.jpg
cam01,fusion_20260817T182528Z,77,97914873,482747257493612,482747359000000,320,240,3241,frames/0000000077.jpg
cam01,fusion_20260817T182528Z,78,98022931,482747365533387,482747437000000,320,240,3234,frames/0000000078.jpg
cam01,fusion_20260817T182528Z,79,98130987,482747473571162,482747531000000,320,240,3198,frames/0000000079.jpg
