host_monotonic_ns,t_ms,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,schema_version,device_id,session_id,sequence,device_timestamp_us,host_capture_monotonic_ns
486347750000000,6044,-0.668,0.013,-0.745,-0.01,-0.07,0.01,1,imu01,fusion_20260817T192552Z,14,6044301,486347734882438
486347765000000,6064,-0.668,0.015,-0.742,0.11,-0.12,-0.05,1,imu01,fusion_20260817T192552Z,15,6064298,486347754878676
486347781000000,6084,-0.667,0.015,-0.741,-0.05,0.16,-0.07,1,imu01,fusion_20260817T192552Z,16,6084302,486347774881913
486347796000000,6104,-0.663,0.013,-0.746,0.04,-0.12,-0.09,1,imu01,fusion_20260817T192552Z,17,6104298,486347794877151
486347828000000,6124,-0.671,0.017,-0.743,0.08,-0.18,-0.03,1,imu01,fusion_20260817T192552Z,18,6124302,486347814880388
486347843000000,6144,-0.663,0.015,-0.748,-0.01,-0.01,0.02,1,imu01,fusion_20260817T192552Z,19,6144298,486347834875625
486347859000000,6164,-0.664,0.013,-0.746,0.06,0.19,0.07,1,imu01,fusion_20260817T192552Z,20,6164302,486347854878863
486347875000000,6184,-0.665,0.012,-0.75,-0.08,-0.01,-0.03,1,imu01,fusion_20260817T192552Z,21,6184298,486347874874100
486347906000000,6204,-0.664,0.013,-0.749,0.05,-0.11,-0.01,1,imu01,fusion_20260817T192552Z,22,6204302,486347894877338
486347921000000,6224,-0.668,0.017,-0.744,0.01,0.2,0.01,1,imu01,fusion_20260817T192552Z,23,6224298,486347914872575
486347937000000,6244,-0.664,0.013,-0.75,0.04,0.01,-0.0,1,imu01,fusion_20260817T192552Z,24,6244302,486347934875812
486347968000000,6264,-0.668,0.013,-0.748,-0.0,-0.01,-0.1,1,imu01,fusion_20260817T192552Z,25,6264298,486347954871050
486347984000000,6284,-0.663,0.016,-0.744,0.2,-0.11,-0.02,1,imu01,fusion_20260817T192552Z,26,6284301,486347974873287
486348000000000,6304,-0.664,0.012,-0.74,-0.09,0.12,-0.05,1,imu01,fusion_20260817T192552Z,27,6304298,486347994869525
486348031000000,6324,-0.669,0.014,-0.749,-0.03,0.04,0.14,1,imu01,fusion_20260817T192552Z,28,6324302,486348014872762
486348046000000,6344,-0.663,0.013,-0.751,-0.03,0.0,0.01,1,imu01,fusion_20260817T192552Z,29,6344298,486348034868000
486348062000000,6364,-0.661,0.016,-0.752,0.08,-0.03,0.03,1,imu01,fusion_20260817T192552Z,30,6364302,486348054871237
486348078000000,6384,-0.663,0.008,-0.756,-0.06,0.16,-0.04,1,imu01,fusion_20260817T192552Z,31,6384298,486348074866474
486348109000000,6404,-0.666,0.014,-0.746,0.02,-0.11,-0.03,1,imu01,fusion_20260817T192552Z,32,6404302,486348094869712
486348125000000,6424,-0.667,0.019,-0.743,-0.11,0.02,0.01,1,imu01,fusion_20260817T192552Z,33,6424298,486348114864949
486348140000000,6444,-0.665,0.015,-0.749,0.09,-0.18,-0.06,1,imu01,fusion_20260817T192552Z,34,6444302,486348134868187
486348156000000,6464,-0.663,0.014,-0.742,-0.0,0.15,-0.07,1,imu01,fusion_20260817T192552Z,35,6464298,486348154863424
486348187000000,6484,-0.669,0.016,-0.747,0.04,-0.13,-0.2,1,imu01,fusion_20260817T192552Z,36,6484302,486348174866662
486348203000000,6504,-0.666,0.014,-0.75,0.01,0.18,-0.09,1,imu01,fusion_20260817T192552Z,37,6504298,486348194861899
486348218000000,6524,-0.663,0.012,-0.749,-0.03,0.03,0.01,1,imu01,fusion_20260817T192552Z,38,6524302,486348214865136
486348250000000,6544,-0.663,0.011,-0.746,-0.06,0.14,0.03,1,imu01,fusion_20260817T192552Z,39,6544298,486348234860374
486348265000000,6564,-0.664,0.013,-0.747,0.03,-0.04,-0.11,1,imu01,fusion_20260817T192552Z,40,6564302,486348254863611
486348281000000,6584,-0.662,0.015,-0.748,0.01,-0.07,-0.0,1,imu01,fusion_20260817T192552Z,41,6584298,486348274858849
486348296000000,6604,-0.663,0.014,-0.746,-0.02,0.12,-0.01,1,imu01,fusion_20260817T192552Z,42,6604302,486348294862086
486348328000000,6624,-0.669,0.012,-0.748,0.01,0.12,0.04,1,imu01,fusion_20260817T192552Z,43,6624298,486348314857324
486348343000000,6644,-0.667,0.012,-0.748,-0.0,-0.01,-0.01,1,imu01,fusion_20260817T192552Z,44,6644302,486348334860561
486348359000000,6664,-0.662,0.011,-0.737,0.12,-0.12,0.01,1,imu01,fusion_20260817T192552Z,45,6664298,486348354855798
486348390000000,6684,-0.663,0.013,-0.752,0.03,0.19,-0.09,1,imu01,fusion_20260817T192552Z,46,6684302,486348374859036
486348406000000,6704,-0.666,0.009,-0.75,0.08,0.03,0.14,1,imu01,fusion_20260817T192552Z,47,6704298,486348394854273
486348421000000,6724,-0.661,0.01,-0.747,0.01,0.05,-0.03,1,imu01,fusion_20260817T192552Z,48,6724302,486348414857511
486348437000000,6744,-0.666,0.013,-0.749,0.19,-0.15,0.09,1,imu01,fusion_20260817T192552Z,49,6744298,486348434852748
486348468000000,6764,-0.667,0.015,-0.754,-0.05,0.19,-0.02,1,imu01,fusion_20260817T192552Z,50,6764302,486348454855985
486348484000000,6784,-0.666,0.02,-0.746,0.04,-0.04,0.04,1,imu01,fusion_20260817T192552Z,51,6784298,486348474851223
486348500000000,6804,-0.666,0.016,-0.743,-0.06,0.03,-0.02,1,imu01,fusion_20260817T192552Z,52,6804302,486348494854460
486348515000000,6824,-0.664,0.014,-0.745,0.12,-0.13,-0.02,1,imu01,fusion_20260817T192552Z,53,6824298,486348514849698
486348546000000,6844,-0.667,0.015,-0.739,0.01,0.11,-0.0,1,imu01,fusion_20260817T192552Z,54,6844302,486348534852935
486348562000000,6864,-0.665,0.01,-0.745,-0.04,-0.03,-0.12,1,imu01,fusion_20260817T192552Z,55,6864298,486348554848173
486348578000000,6884,-0.661,0.014,-0.746,-0.0,-0.09,0.02,1,imu01,fusion_20260817T192552Z,56,6884302,486348574851410
486348609000000,6904,-0.665,0.01,-0.745,-0.03,0.12,0.11,1,imu01,fusion_20260817T192552Z,57,6904298,486348594846648
486348625000000,6924,-0.666,0.015,-0.744,-0.1,0.05,0.05,1,imu01,fusion_20260817T192552Z,58,6924302,486348614849885
486348640000000,6944,-0.673,0.016,-0.747,-0.04,-0.08,-0.02,1,imu01,fusion_20260817T192552Z,59,6944298,486348634845122
486348656000000,6964,-0.629,0.01,-0.737,0.04,-0.02,-0.04,1,imu01,fusion_20260817T192552Z,60,6964302,486348654848360
486348687000000,6984,-0.669,0.014,-0.751,-0.09,0.09,0.04,1,imu01,fusion_20260817T192552Z,61,6984298,486348674843597
486348703000000,7004,-0.656,0.013,-0.742,0.01,0.07,0.05,1,imu01,fusion_20260817T192552Z,62,7004302,486348694846834
486348718000000,7024,-0.669,0.017,-0.74,-0.09,-0.01,-0.08,1,imu01,fusion_20260817T192552Z,63,7024298,486348714842072
486348750000000,7044,-0.666,0.017,-0.743,0.11,-0.1,-0.0,1,imu01,fusion_20260817T192552Z,64,7044301,486348734844309
486348765000000,7064,-0.668,0.013,-0.751,-0.02,0.15,-0.05,1,imu01,fusion_20260817T192552Z,65,7064298,486348754840547
486348781000000,7084,-0.663,0.015,-0.745,0.03,0.15,-0.02,1,imu01,fusion_20260817T192552Z,66,7084302,486348774843784
486348796000000,7104,-0.671,0.017,-0.75,-0.01,-0.04,-0.02,1,imu01,fusion_20260817T192552Z,67,7104298,486348794839022
486348828000000,7124,-0.667,0.012,-0.748,0.13,-0.15,0.03,1,imu01,fusion_20260817T192552Z,68,7124302,486348814842259
486348843000000,7144,-0.664,0.018,-0.747,-0.01,0.13,-0.09,1,imu01,fusion_20260817T192552Z,69,7144298,486348834837497
486348859000000,7164,-0.667,0.013,-0.752,0.07,-0.11,-0.04,1,imu01,fusion_20260817T192552Z,70,7164302,486348854840734
486348890000000,7184,-0.662,0.013,-0.749,-0.03,-0.04,0.01,1,imu01,fusion_20260817T192552Z,71,7184298,486348874835972
486348906000000,7204,-0.665,0.012,-0.745,0.01,0.03,0.07,1,imu01,fusion_20260817T192552Z,72,7204302,486348894839209
486348921000000,7224,-0.666,0.02,-0.749,-0.12,0.29,-0.04,1,imu01,fusion_20260817T192552Z,73,7224298,486348914834446
486348937000000,7244,-0.663,0.017,-0.749,-0.0,-0.04,0.04,1,imu01,fusion_20260817T192552Z,74,7244302,486348934837684
486348968000000,7264,-0.663,0.015,-0.751,-0.03,0.12,-0.04,1,imu01,fusion_20260817T192552Z,75,7264298,486348954832921
486348984000000,7284,-0.667,0.01,-0.744,0.1,0.12,0.01,1,imu01,fusion_20260817T192552Z,76,7284301,486348974835158
486349000000000,7304,-0.665,0.015,-0.751,-0.1,0.16,-0.09,1,imu01,fusion_20260817T192552Z,77,7304298,486348994831396
486349015000000,7324,-0.668,0.012,-0.746,0.04,-0.1,0.06,1,imu01,fusion_20260817T192552Z,78,7324302,486349014834633
486349046000000,7344,-0.667,0.012,-0.751,-0.04,-0.01,0.09,1,imu01,fusion_20260817T192552Z,79,7344298,486349034829871
486349062000000,7364,-0.664,0.015,-0.74,-0.03,0.11,-0.02,1,imu01,fusion_20260817T192552Z,80,7364302,486349054833108
