device_id,session_id,sequence,device_timestamp_us,host_capture_monotonic_ns,host_received_monotonic_ns,width,height,jpeg_bytes,motion_score,relative_path
cam01,fusion_20260817T192552Z,1090,3698307748,486347571094011,486347718000000,320,240,5203,,frames/0000001090.jpg
cam01,fusion_20260817T192552Z,1091,3698415731,486347679091366,486347765000000,320,240,5466,0.03300628066062927,frames/0000001091.jpg
cam01,fusion_20260817T192552Z,1092,3698523793,486347787167732,486347890000000,320,240,5592,0.027693776413798332,frames/0000001092.jpg
cam01,fusion_20260817T192552Z,1093,3698559799,486347823178519,486348000000000,320,240,5655,0.01843935437500477,frames/0000001093.jpg
cam01,fusion_20260817T192552Z,1094,3698703752,486347967150656,486348093000000,320,240,5750,0.03435523808002472,frames/0000001094.jpg
cam01,fusion_20260817T192552Z,1095,3698811935,486348075348038,486348203000000,320,240,5883,0.025371665135025978,frames/0000001095.jpg
cam01,fusion_20260817T192552Z,1096,3698919853,486348183280384,486348296000000,320,240,6086,0.025511302053928375,frames/0000001096.jpg
cam01,fusion_20260817T192552Z,1097,3698956358,486348219790237,486348406000000,320,240,6040,0.01857341080904007,frames/0000001097.jpg
cam01,fusion_20260817T192552Z,1098,3699100050,486348363501340,486348531000000,320,240,5942,0.041687432676553726,frames/0000001098.jpg
cam01,fusion_20260817T192552Z,1099,3699136085,486348399541130,486348625000000,320,240,6066,0.021311871707439423,frames/0000001099.jpg
cam01,fusion_20260817T192552Z,1100,3699316045,486348579525054,486348703000000,320,240,6266,0.044688574969768524,frames/0000001100.jpg
cam01,fusion_20260817T192552Z,1101,3699424123,486348687617422,486348750000000,320,240,6068,0.033836331218481064,frames/0000001101.jpg
cam01,fusion_20260817T192552Z,1102,3699460240,486348723739223,486348843000000,320,240,6154,0.021353553980588913,frames/0000001102.jpg
cam01,fusion_20260817T192552Z,1103,3699604212,486348867730363,486348937000000,320,240,6442,0.040366318076848984,frames/0000001103.jpg
cam01,fusion_20260817T192552Z,1104,3699712832,486348976364803,486349093000000,320,240,6366,0.026622921228408813,frames/0000001104.jpg
cam01,fusion_20260817T192552Z,1105,3699820444,486349083991108,486349203000000,320,240,6492,0.021480323746800423,frames/0000001105.jpg
