device_id,request_id,device_time_us,host_send_monotonic_ns,host_receive_monotonic_ns,host_midpoint_monotonic_ns,round_trip_ns
imu01,i000001,6039530,486347718000000,486347734000000,486347726000000,16000000
cam01,c000001,3698498050,486347734000000,486347781000000,486347757500000,47000000
imu01,i000002,6277535,486347968000000,486347968000000,486347968000000,0
cam01,c000002,3698812959,486348031000000,486348140000000,486348085500000,109000000
imu01,i000003,6536529,486348218000000,486348234000000,486348226000000,16000000
cam01,c000003,3699189955,486348406000000,486348609000000,486348507500000,203000000
imu01,i000004,6776534,486348468000000,486348468000000,486348468000000,0
imu01,i000005,7036530,486348718000000,486348734000000,486348726000000,16000000
cam01,c000004,3699639326,486348859000000,486348937000000,486348898000000,78000000
imu01,i000006,7276535,486348968000000,486348968000000,486348968000000,0
cam01,c000005,3699972028,486349187000000,486349281000000,486349234000000,94000000
imu01,i000007,9276530,486350968000000,486350968000000,486350968000000,0
cam01,c000006,3702056711,486351281000000,486351390000000,486351335500000,109000000
imu01,i000008,11276535,486352968000000,486352968000000,486352968000000,0
cam01,c000007,3704192587,486353406000000,486354000000000,486353703000000,594000000
imu01,i000009,13277532,486354968000000,486354968000000,486354968000000,0
cam01,c000008,3712094197,486356015000000,486361437000000,486358726000000,5422000000
imu01,i000010,15343536,486357031000000,486357031000000,486357031000000,0
imu01,i000011,17348541,486359031000000,486359046000000,486359038500000,15000000
imu01,i000012,19357534,486361046000000,486361046000000,486361046000000,0
imu01,i000013,21356533,486363046000000,486363046000000,486363046000000,0
cam01,c000009,3714231383,486363453000000,486363531000000,486363492000000,78000000
imu01,i000014,23356534,486365046000000,486365046000000,486365046000000,0
cam01,c000010,3716307425,486365531000000,486365609000000,486365570000000,78000000
imu01,i000015,25356532,486367046000000,486367046000000,486367046000000,0
cam01,c000011,3718380619,486367609000000,486367671000000,486367640000000,62000000
imu01,i000016,27356534,486369046000000,486369046000000,486369046000000,0
cam01,c000012,3720624189,486369687000000,486370062000000,486369874500000,375000000
imu01,i000017,29356553,486371046000000,486371046000000,486371046000000,0
cam01,c000013,3722841427,486372062000000,486372140000000,486372101000000,78000000
imu01,i000018,31357534,486373046000000,486373046000000,486373046000000,0
cam01,c000014,3724937565,486374156000000,486374437000000,486374296500000,281000000
imu01,i000019,33356532,486375046000000,486375046000000,486375046000000,0
cam01,c000015,3727241840,486376437000000,486376718000000,486376577500000,281000000
imu01,i000020,35356535,486377046000000,486377046000000,486377046000000,0
cam01,c000016,3729501164,486378718000000,486378796000000,486378757000000,78000000
imu01,i000021,37357533,486379046000000,486379046000000,486379046000000,0
cam01,c000017,3731582889,486380812000000,486380875000000,486380843500000,63000000
imu01,i000022,39357535,486381046000000,486381046000000,486381046000000,0
cam01,c000018,3733663171,486382890000000,486382968000000,486382929000000,78000000
imu01,i000023,41357532,486383046000000,486383046000000,486383046000000,0
cam01,c000019,3735761122,486384984000000,486385078000000,486385031000000,94000000
imu01,i000024,43357534,486385046000000,486385046000000,486385046000000,0
imu01,i000025,45357532,486387046000000,486387046000000,486387046000000,0
cam01,c000020,3737917031,486387078000000,486387375000000,486387226500000,297000000
imu01,i000026,47357534,486389046000000,486389046000000,486389046000000,0
cam01,c000021,3740183108,486389390000000,486389531000000,486389460500000,141000000
imu01,i000027,49357532,486391046000000,486391046000000,486391046000000,0
cam01,c000022,3742300402,486391531000000,486391640000000,486391585500000,109000000
imu01,i000028,51357534,486393046000000,486393046000000,486393046000000,0
cam01,c000023,3744446403,486393640000000,486393890000000,486393765000000,250000000
imu01,i000029,53356533,486395046000000,486395046000000,486395046000000,0
cam01,c000024,3746689160,486395890000000,486396109000000,486395999500000,219000000
imu01,i000030,55356534,486397046000000,486397046000000,486397046000000,0
cam01,c000025,3748906049,486398125000000,486398250000000,486398187500000,125000000
imu01,i000031,57356532,486399046000000,486399046000000,486399046000000,0
cam01,c000026,3751203192,486400265000000,486400578000000,486400421500000,313000000
imu01,i000032,59357534,486401046000000,486401046000000,486401046000000,0
cam01,c000027,3753358476,486402578000000,486402671000000,486402624500000,93000000
imu01,i000033,61356532,486403046000000,486403046000000,486403046000000,0
cam01,c000028,3755447530,486404671000000,486404984000000,486404827500000,313000000
imu01,i000034,63357535,486405046000000,486405046000000,486405046000000,0
cam01,c000029,3757767232,486406984000000,486407078000000,486407031000000,94000000
imu01,i000035,65357532,486407046000000,486407046000000,486407046000000,0
