sequence,device_timestamp_us,host_received_monotonic_ns,width,height,jpeg_bytes,relative_path
1,43707502,627433500000000,320,240,4479,frames/0000000001.jpg
2,43815593,627434953000000,320,240,4316,frames/0000000002.jpg
3,51919520,627435015000000,320,240,4612,frames/0000000003.jpg
4,57826593,627435859000000,320,240,4292,frames/0000000004.jpg
5,57934658,627444765000000,320,240,4206,frames/0000000005.jpg
6,58726917,627445484000000,320,240,4366,frames/0000000006.jpg
7,67191262,627446421000000,320,240,4304,frames/0000000007.jpg
8,68307779,627447640000000,320,240,4062,frames/0000000008.jpg
9,69316364,627448656000000,320,240,4184,frames/0000000009.jpg
10,70288849,627449781000000,320,240,4172,frames/0000000010.jpg
11,71225137,627450609000000,320,240,4680,frames/0000000011.jpg
12,72665972,627451625000000,320,240,4302,frames/0000000012.jpg
13,73278174,627454171000000,320,240,4252,frames/0000000013.jpg
