host_received_monotonic_ns,message
570136234000000,# FusionSense timestamped IMU USB stream
570136250000000,"# format=IMU,1,device_id,session_id,seq,t_device_us,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps"
570136250000000,"# configured_hz=50,accel_range_g=2,gyro_range_dps=250"
570136265000000,"# i2c_scan,pins=21|22,addresses=0x68"
570136468000000,# mpu_who_am_i=0x70
570136468000000,# mpu_i2c_address=0x68
570136468000000,# mpu_model=MPU-6500
570136484000000,"# calibration,keep_sensor_stationary,seconds=5"
570141484000000,"# calibration_failed,reason=movement_or_bad_scale,accel_mean_g=1.0115,accel_std_g=0.0056,gyro_mag_std_dps=1.3563"
570141484000000,"# calibration_retry,keep_sensor_stationary"
570142484000000,"# calibration,keep_sensor_stationary,seconds=5"
570147484000000,"# calibration_failed,reason=movement_or_bad_scale,accel_mean_g=1.0118,accel_std_g=0.0067,gyro_mag_std_dps=2.1301"
570147500000000,"# calibration_retry,keep_sensor_stationary"
570148500000000,"# calibration,keep_sensor_stationary,seconds=5"
570153500000000,"# calibration_failed,reason=movement_or_bad_scale,accel_mean_g=1.0036,accel_std_g=0.0200,gyro_mag_std_dps=20.4645"
570153500000000,"# calibration_retry,keep_sensor_stationary"
570154515000000,"# calibration,keep_sensor_stationary,seconds=5"
570159515000000,"# calibration_failed,reason=movement_or_bad_scale,accel_mean_g=1.0097,accel_std_g=0.0396,gyro_mag_std_dps=12.9087"
570159515000000,"# calibration_retry,keep_sensor_stationary"
570160515000000,"# calibration,keep_sensor_stationary,seconds=5"
570165531000000,"# calibration_ok,accel_bias_g=-0.00370|0.00038|0.01462,gyro_bias_dps=-0.5015|0.1637|0.1751"
570165531000000,# acquisition_started
570165531000000,"# session_set,id=fusion_20260818T184228Z"
570168593000000,"# host_capture_start,serial_buffer_aligned=true"
570168593000000,"# SYNC_RESP,i000001,32865526"
570168843000000,"# SYNC_RESP,i000002,33124530"
570169109000000,"# SYNC_RESP,i000003,33384526"
570169375000000,"# SYNC_RESP,i000004,33644530"
570169609000000,"# SYNC_RESP,i000005,33884525"
570169875000000,"# SYNC_RESP,i000006,34143531"
570170531000000,"# health,t_ms=34791,samples=249,read_errors_total=0,read_errors_window=0,missed_slots_total=1,missed_slots_window=1,effective_hz=49.80"
570171875000000,"# SYNC_RESP,i000007,36144526"
570173875000000,"# SYNC_RESP,i000008,38144532"
570175531000000,"# health,t_ms=39791,samples=499,read_errors_total=0,read_errors_window=0,missed_slots_total=1,missed_slots_window=0,effective_hz=50.00"
570175875000000,"# SYNC_RESP,i000009,40144526"
570177875000000,"# SYNC_RESP,i000010,42144531"
570179875000000,"# SYNC_RESP,i000011,44143527"
570180531000000,"# health,t_ms=44791,samples=749,read_errors_total=0,read_errors_window=0,missed_slots_total=1,missed_slots_window=0,effective_hz=50.00"
570181875000000,"# SYNC_RESP,i000012,46143532"
570183875000000,"# SYNC_RESP,i000013,48143526"
570185531000000,"# health,t_ms=49791,samples=999,read_errors_total=0,read_errors_window=0,missed_slots_total=1,missed_slots_window=0,effective_hz=50.00"
570185875000000,"# SYNC_RESP,i000014,50143531"
570187875000000,"# SYNC_RESP,i000015,52143526"
570189875000000,"# SYNC_RESP,i000016,54144530"
570190531000000,"# health,t_ms=54791,samples=1249,read_errors_total=0,read_errors_window=0,missed_slots_total=1,missed_slots_window=0,effective_hz=50.00"
570191875000000,"# SYNC_RESP,i000017,56144526"
570193875000000,"# SYNC_RESP,i000018,58143532"
570195531000000,"# health,t_ms=59791,samples=1499,read_errors_total=0,read_errors_window=0,missed_slots_total=1,missed_slots_window=0,effective_hz=50.00"
570195875000000,"# SYNC_RESP,i000019,60144527"
570197875000000,"# SYNC_RESP,i000020,62144532"
570199875000000,"# SYNC_RESP,i000021,64144527"
570200531000000,"# health,t_ms=64791,samples=1749,read_errors_total=0,read_errors_window=0,missed_slots_total=1,missed_slots_window=0,effective_hz=50.00"
570201875000000,"# SYNC_RESP,i000022,66144532"
570203875000000,"# SYNC_RESP,i000023,68144526"
570205531000000,"# health,t_ms=69791,samples=1999,read_errors_total=0,read_errors_window=0,missed_slots_total=1,missed_slots_window=0,effective_hz=50.00"
570205875000000,"# SYNC_RESP,i000024,70144532"
570207875000000,"# SYNC_RESP,i000025,72144527"
570209875000000,"# SYNC_RESP,i000026,74144531"
570210531000000,"# health,t_ms=74791,samples=2249,read_errors_total=0,read_errors_window=0,missed_slots_total=1,missed_slots_window=0,effective_hz=50.00"
570211875000000,"# SYNC_RESP,i000027,76144527"
570213875000000,"# SYNC_RESP,i000028,78144531"
570215531000000,"# health,t_ms=79791,samples=2499,read_errors_total=0,read_errors_window=0,missed_slots_total=1,missed_slots_window=0,effective_hz=50.00"
570215875000000,"# SYNC_RESP,i000029,80143527"
570217875000000,"# SYNC_RESP,i000030,82144532"
570219875000000,"# SYNC_RESP,i000031,84143551"
570220531000000,"# health,t_ms=84791,samples=2749,read_errors_total=0,read_errors_window=0,missed_slots_total=1,missed_slots_window=0,effective_hz=50.00"
570221875000000,"# SYNC_RESP,i000032,86144531"
570223875000000,"# SYNC_RESP,i000033,88144526"
570225531000000,"# health,t_ms=89791,samples=2999,read_errors_total=0,read_errors_window=0,missed_slots_total=1,missed_slots_window=0,effective_hz=50.00"
570225875000000,"# SYNC_RESP,i000034,90144531"
570227875000000,"# SYNC_RESP,i000035,92144526"
