device_id,request_id,device_time_us,host_send_monotonic_ns,host_receive_monotonic_ns,host_midpoint_monotonic_ns,round_trip_ns
imu01,i000001,32865526,570168593000000,570168593000000,570168593000000,0
cam01,c000001,116374715,570168593000000,570168781000000,570168687000000,188000000
imu01,i000002,33124530,570168843000000,570168843000000,570168843000000,0
cam01,c000002,116821315,570169031000000,570169203000000,570169117000000,172000000
imu01,i000003,33384526,570169109000000,570169109000000,570169109000000,0
imu01,i000004,33644530,570169359000000,570169375000000,570169367000000,16000000
cam01,c000003,117294982,570169468000000,570169578000000,570169523000000,110000000
imu01,i000005,33884525,570169609000000,570169609000000,570169609000000,0
cam01,c000004,117658544,570169843000000,570170234000000,570170038500000,391000000
imu01,i000006,34143531,570169859000000,570169875000000,570169867000000,16000000
cam01,c000005,118264253,570170484000000,570170625000000,570170554500000,141000000
imu01,i000007,36144526,570171859000000,570171875000000,570171867000000,16000000
cam01,c000006,120418257,570172625000000,570174265000000,570173445000000,1640000000
imu01,i000008,38144532,570173859000000,570173875000000,570173867000000,16000000
imu01,i000009,40144526,570175859000000,570175875000000,570175867000000,16000000
cam01,c000007,124067464,570176281000000,570177640000000,570176960500000,1359000000
imu01,i000010,42144531,570177859000000,570177875000000,570177867000000,16000000
cam01,c000008,127473978,570179640000000,570179890000000,570179765000000,250000000
imu01,i000011,44143527,570179859000000,570179875000000,570179867000000,16000000
imu01,i000012,46143532,570181859000000,570181875000000,570181867000000,16000000
cam01,c000009,129743595,570181906000000,570183484000000,570182695000000,1578000000
imu01,i000013,48143526,570183859000000,570183875000000,570183867000000,16000000
cam01,c000010,133301488,570185500000000,570187546000000,570186523000000,2046000000
imu01,i000014,50143531,570185859000000,570185875000000,570185867000000,16000000
imu01,i000015,52143526,570187859000000,570187875000000,570187867000000,16000000
cam01,c000011,137332534,570189546000000,570190265000000,570189905500000,719000000
imu01,i000016,54144530,570189859000000,570189875000000,570189867000000,16000000
imu01,i000017,56144526,570191859000000,570191875000000,570191867000000,16000000
cam01,c000012,140060087,570192265000000,570192812000000,570192538500000,547000000
imu01,i000018,58143532,570193859000000,570193875000000,570193867000000,16000000
cam01,c000013,142623021,570194828000000,570194906000000,570194867000000,78000000
imu01,i000019,60144527,570195859000000,570195875000000,570195867000000,16000000
cam01,c000014,144723899,570196921000000,570197765000000,570197343000000,844000000
imu01,i000020,62144532,570197859000000,570197875000000,570197867000000,16000000
cam01,c000015,147564322,570199765000000,570201640000000,570200702500000,1875000000
imu01,i000021,64144527,570199859000000,570199875000000,570199867000000,16000000
imu01,i000022,66144532,570201859000000,570201875000000,570201867000000,16000000
cam01,c000016,156575523,570203656000000,570208968000000,570206312000000,5312000000
imu01,i000023,68144526,570203859000000,570203875000000,570203867000000,16000000
imu01,i000024,70144532,570205859000000,570205875000000,570205867000000,16000000
imu01,i000025,72144527,570207859000000,570207875000000,570207867000000,16000000
imu01,i000026,74144531,570209859000000,570209875000000,570209867000000,16000000
cam01,c000017,158764668,570210968000000,570211375000000,570211171500000,407000000
imu01,i000027,76144527,570211859000000,570211875000000,570211867000000,16000000
cam01,c000018,161206639,570213390000000,570213625000000,570213507500000,235000000
imu01,i000028,78144531,570213859000000,570213875000000,570213867000000,16000000
cam01,c000019,163450559,570215640000000,570215796000000,570215718000000,156000000
imu01,i000029,80143527,570215859000000,570215875000000,570215867000000,16000000
cam01,c000020,165581066,570217796000000,570219843000000,570218819500000,2047000000
imu01,i000030,82144532,570217859000000,570217875000000,570217867000000,16000000
imu01,i000031,84143551,570219859000000,570219875000000,570219867000000,16000000
imu01,i000032,86144531,570221859000000,570221875000000,570221867000000,16000000
cam01,c000021,169645818,570221859000000,570222015000000,570221937000000,156000000
imu01,i000033,88144526,570223859000000,570223875000000,570223867000000,16000000
cam01,c000022,171847955,570224031000000,570224140000000,570224085500000,109000000
imu01,i000034,90144531,570225859000000,570225875000000,570225867000000,16000000
cam01,c000023,173946082,570226156000000,570228593000000,570227374500000,2437000000
imu01,i000035,92144526,570227859000000,570227875000000,570227867000000,16000000
