device_id,session_id,sequence,device_timestamp_us,host_capture_monotonic_ns,host_received_monotonic_ns,width,height,jpeg_bytes,motion_score,relative_path
cam01,fusion_20260818T184228Z,2,113510592,570166006741940,570168687000000,320,240,7463,,frames/0000000002.jpg
cam01,fusion_20260818T184228Z,3,116428124,570168919215045,570168890000000,320,240,7687,0.00907705258578062,frames/0000000003.jpg
cam01,fusion_20260818T184228Z,4,116464151,570168955179575,570169000000000,320,240,7723,0.010530110448598862,frames/0000000004.jpg
cam01,fusion_20260818T184228Z,5,116644126,570169134842505,570169093000000,320,240,7550,0.011401860043406487,frames/0000000005.jpg
cam01,fusion_20260818T184228Z,6,116716168,570169206759587,570169156000000,320,240,7648,0.008090482093393803,frames/0000000006.jpg
cam01,fusion_20260818T184228Z,7,116788199,570169278665688,570169578000000,320,240,7654,0.007585205603390932,frames/0000000007.jpg
cam01,fusion_20260818T184228Z,8,116896249,570169386528333,570170015000000,320,240,7616,0.007339665200561285,frames/0000000008.jpg
cam01,fusion_20260818T184228Z,9,117400598,570169890002810,570170250000000,320,240,7212,0.01367255486547947,frames/0000000009.jpg
cam01,fusion_20260818T184228Z,10,117940773,570170429241166,570170312000000,320,240,7517,0.01626189798116684,frames/0000000010.jpg
cam01,fusion_20260818T184228Z,11,117976906,570170465311512,570170609000000,320,240,7549,0.011288858018815517,frames/0000000011.jpg
cam01,fusion_20260818T184228Z,12,118084890,570170573108272,570170625000000,320,240,7443,0.015176011249423027,frames/0000000012.jpg
cam01,fusion_20260818T184228Z,13,118301008,570170788851531,570170843000000,320,240,7321,0.03863739222288132,frames/0000000013.jpg
cam01,fusion_20260818T184228Z,14,118408989,570170896645296,570171046000000,320,240,7087,0.03617216274142265,frames/0000000014.jpg
cam01,fusion_20260818T184228Z,15,118805370,570171292338986,570171203000000,320,240,6329,0.10364706069231033,frames/0000000015.jpg
cam01,fusion_20260818T184228Z,16,118841393,570171328299523,570171234000000,320,240,6209,0.029319392517209053,frames/0000000016.jpg
cam01,fusion_20260818T184228Z,17,118985297,570171471953999,570171421000000,320,240,6606,0.0613507442176342,frames/0000000017.jpg
cam01,fusion_20260818T184228Z,18,119021419,570171508013365,570171468000000,320,240,6585,0.01876862160861492,frames/0000000018.jpg
cam01,fusion_20260818T184228Z,19,119201401,570171687683282,570174203000000,320,240,6338,0.08053027838468552,frames/0000000019.jpg
cam01,fusion_20260818T184228Z,20,119237561,570171723780582,570174281000000,320,240,6211,0.038901109248399734,frames/0000000020.jpg
cam01,fusion_20260818T184228Z,21,122046918,570174528266258,570174421000000,320,240,6863,0.10440351068973541,frames/0000000021.jpg
cam01,fusion_20260818T184228Z,22,122154862,570174636023087,570174484000000,320,240,6953,0.04461938515305519,frames/0000000022.jpg
cam01,fusion_20260818T184228Z,23,122227020,570174708055968,570174625000000,320,240,7047,0.04036427661776543,frames/0000000023.jpg
cam01,fusion_20260818T184228Z,24,122334953,570174815801816,570174828000000,320,240,7016,0.05395592004060745,frames/0000000024.jpg
cam01,fusion_20260818T184228Z,25,122443097,570174923758298,570174843000000,320,240,7252,0.047780197113752365,frames/0000000025.jpg
cam01,fusion_20260818T184228Z,26,122479232,570174959830641,570175031000000,320,240,7268,0.02265458181500435,frames/0000000026.jpg
cam01,fusion_20260818T184228Z,27,122839338,570175319312230,570175171000000,320,240,6878,0.07798843830823898,frames/0000000027.jpg
cam01,fusion_20260818T184228Z,28,122947259,570175427046099,570175265000000,320,240,7014,0.038902848958969116,frames/0000000028.jpg
cam01,fusion_20260818T184228Z,29,123055437,570175535036523,570175531000000,320,240,7213,0.034369248896837234,frames/0000000029.jpg
cam01,fusion_20260818T184228Z,30,123091506,570175571042980,570177671000000,320,240,7231,0.016997428610920906,frames/0000000030.jpg
cam01,fusion_20260818T184228Z,31,125000371,570177476598077,570178500000000,320,240,7322,0.08652816712856293,frames/0000000031.jpg
cam01,fusion_20260818T184228Z,32,125504730,570177980082537,570178562000000,320,240,7340,0.08185382932424545,frames/0000000032.jpg
cam01,fusion_20260818T184228Z,33,126333127,570178807043126,570179156000000,320,240,7558,0.06498248875141144,frames/0000000033.jpg
cam01,fusion_20260818T184228Z,34,126909557,570179382473617,570179890000000,320,240,7653,0.06795128434896469,frames/0000000034.jpg
cam01,fusion_20260818T184228Z,35,127593781,570180065511198,570180015000000,320,240,7384,0.04570181295275688,frames/0000000035.jpg
cam01,fusion_20260818T184228Z,36,127629775,570180101442785,570180390000000,320,240,7519,0.014381791464984417,frames/0000000036.jpg
cam01,fusion_20260818T184228Z,37,127773677,570180245095264,570180437000000,320,240,7613,0.011621561832726002,frames/0000000037.jpg
cam01,fusion_20260818T184228Z,38,128242018,570180712624178,570183703000000,320,240,7520,0.01700747199356556,frames/0000000038.jpg
cam01,fusion_20260818T184228Z,39,131447625,570183912672771,570183828000000,320,240,7760,0.024028951302170753,frames/0000000039.jpg
cam01,fusion_20260818T184228Z,40,131555567,570184020427603,570183921000000,320,240,7587,0.009482178837060928,frames/0000000040.jpg
cam01,fusion_20260818T184228Z,41,131663618,570184128291247,570192656000000,320,240,7679,0.008936292491853237,frames/0000000041.jpg
cam01,fusion_20260818T184228Z,42,138002884,570190456565188,570192890000000,320,240,7672,0.07983842492103577,frames/0000000042.jpg
cam01,fusion_20260818T184228Z,43,140632191,570193081313064,570192953000000,320,240,7977,0.0868278220295906,frames/0000000043.jpg
